Train Epoch: [1/30] Iters:[360/468] gen_loss 0.0678, rec_loss 0.0145, lpips_loss 0.1687, g_loss -0.0314, disc_weight 0.4000, disc_adaptive_weight 3.7000, d_loss 0.5181, logits_real 0.0178, logits_fake 0.0311,
Train Epoch: [1/30] Iters:[370/468] gen_loss 0.0734, rec_loss 0.0145, lpips_loss 0.1684, g_loss -0.0296, disc_weight 0.4000, disc_adaptive_weight 3.6942, d_loss 0.5134, logits_real 0.0169, logits_fake 0.0290,
Train Epoch: [1/30] Iters:[380/468] gen_loss 0.0785, rec_loss 0.0145, lpips_loss 0.1680, g_loss -0.0281, disc_weight 0.4000, disc_adaptive_weight 3.6957, d_loss 0.5099, logits_real 0.0159, logits_fake 0.0277,
Train Epoch: [1/30] Iters:[390/468] gen_loss 0.0843, rec_loss 0.0145, lpips_loss 0.1673, g_loss -0.0271, disc_weight 0.4000, disc_adaptive_weight 3.5899, d_loss 0.5068, logits_real 0.0149, logits_fake 0.0268,
Train Epoch: [1/30] Iters:[400/468] gen_loss 0.0864, rec_loss 0.0143, lpips_loss 0.1665, g_loss -0.0256, disc_weight 0.4000, disc_adaptive_weight 3.6627, d_loss 0.5026, logits_real 0.0138, logits_fake 0.0256,
Train Epoch: [1/30] Iters:[410/468] gen_loss 0.0961, rec_loss 0.0143, lpips_loss 0.1663, g_loss -0.0241, disc_weight 0.4000, disc_adaptive_weight 3.5140, d_loss 0.4990, logits_real 0.0125, logits_fake 0.0237,
Train Epoch: [1/30] Iters:[420/468] gen_loss 0.1009, rec_loss 0.0143, lpips_loss 0.1668, g_loss -0.0225, disc_weight 0.4000, disc_adaptive_weight 3.5929, d_loss 0.4959, logits_real 0.0113, logits_fake 0.0225,
Train Epoch: [1/30] Iters:[430/468] gen_loss 0.1045, rec_loss 0.0143, lpips_loss 0.1667, g_loss -0.0208, disc_weight 0.4000, disc_adaptive_weight 3.7235, d_loss 0.4923, logits_real 0.0100, logits_fake 0.0213,
Train Epoch: [1/30] Iters:[440/468] gen_loss 0.1103, rec_loss 0.0144, lpips_loss 0.1671, g_loss -0.0190, disc_weight 0.4000, disc_adaptive_weight 3.7871, d_loss 0.4885, logits_real 0.0088, logits_fake 0.0195,
Train Epoch: [1/30] Iters:[450/468] gen_loss 0.1120, rec_loss 0.0144, lpips_loss 0.1671, g_loss -0.0178, disc_weight 0.4000, disc_adaptive_weight 3.9829, d_loss 0.4858, logits_real 0.0075, logits_fake 0.0182,
Train Epoch: [1/30] Iters:[460/468] gen_loss 0.1167, rec_loss 0.0145, lpips_loss 0.1673, g_loss -0.0166, disc_weight 0.4000, disc_adaptive_weight 3.9679, d_loss 0.4828, logits_real 0.0067, logits_fake 0.0174,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss 0.1319, rec_loss 0.0145, lpips_loss 0.1675, g_loss -0.0133, disc_weight 0.4000, disc_adaptive_weight 3.8653, d_loss 0.4723, logits_real 0.0040, logits_fake 0.0125,
Train Epoch: [2/30] Iters:[20/468] gen_loss 0.1268, rec_loss 0.0146, lpips_loss 0.1682, g_loss -0.0126, disc_weight 0.4000, disc_adaptive_weight 4.5452, d_loss 0.4715, logits_real 0.0037, logits_fake 0.0119,
Train Epoch: [2/30] Iters:[30/468] gen_loss 0.1291, rec_loss 0.0146, lpips_loss 0.1678, g_loss -0.0126, disc_weight 0.4000, disc_adaptive_weight 4.3034, d_loss 0.4706, logits_real 0.0033, logits_fake 0.0119,
Train Epoch: [2/30] Iters:[40/468] gen_loss 0.1321, rec_loss 0.0145, lpips_loss 0.1673, g_loss -0.0122, disc_weight 0.4000, disc_adaptive_weight 4.1065, d_loss 0.4700, logits_real 0.0030, logits_fake 0.0117,
Train Epoch: [2/30] Iters:[50/468] gen_loss 0.1334, rec_loss 0.0144, lpips_loss 0.1669, g_loss -0.0118, disc_weight 0.4000, disc_adaptive_weight 4.0936, d_loss 0.4689, logits_real 0.0028, logits_fake 0.0114,
Train Epoch: [2/30] Iters:[60/468] gen_loss 0.1350, rec_loss 0.0144, lpips_loss 0.1668, g_loss -0.0109, disc_weight 0.4000, disc_adaptive_weight 4.2466, d_loss 0.4667, logits_real 0.0022, logits_fake 0.0108,
Train Epoch: [2/30] Iters:[70/468] gen_loss 0.1378, rec_loss 0.0143, lpips_loss 0.1667, g_loss -0.0103, disc_weight 0.4000, disc_adaptive_weight 4.2746, d_loss 0.4647, logits_real 0.0015, logits_fake 0.0107,
Train Epoch: [2/30] Iters:[80/468] gen_loss 0.1390, rec_loss 0.0142, lpips_loss 0.1667, g_loss -0.0097, disc_weight 0.4000, disc_adaptive_weight 4.4039, d_loss 0.4629, logits_real 0.0008, logits_fake 0.0099,
Train Epoch: [2/30] Iters:[90/468] gen_loss 0.1390, rec_loss 0.0142, lpips_loss 0.1668, g_loss -0.0090, disc_weight 0.4000, disc_adaptive_weight 4.6761, d_loss 0.4606, logits_real 0.0003, logits_fake 0.0093,
Train Epoch: [2/30] Iters:[100/468] gen_loss 0.1395, rec_loss 0.0142, lpips_loss 0.1671, g_loss -0.0085, disc_weight 0.4000, disc_adaptive_weight 4.9605, d_loss 0.4586, logits_real -0.0004, logits_fake 0.0089,
Train Epoch: [2/30] Iters:[110/468] gen_loss 0.1403, rec_loss 0.0143, lpips_loss 0.1675, g_loss -0.0082, disc_weight 0.4000, disc_adaptive_weight 5.0537, d_loss 0.4572, logits_real -0.0011, logits_fake 0.0084,
