Train Epoch: [1/30] Iters:[330/468] gen_loss 0.1679, rec_loss 0.0238, lpips_loss 0.2132, g_loss -0.0168, disc_weight 0.4000, disc_adaptive_weight 4.0942, d_loss 0.5419, logits_real 0.0135, logits_fake 0.0170,
Train Epoch: [1/30] Iters:[340/468] gen_loss 0.1579, rec_loss 0.0229, lpips_loss 0.2125, g_loss -0.0178, disc_weight 0.4000, disc_adaptive_weight 4.3515, d_loss 0.5357, logits_real 0.0144, logits_fake 0.0180,
Train Epoch: [1/30] Iters:[350/468] gen_loss 0.1555, rec_loss 0.0224, lpips_loss 0.2127, g_loss -0.0188, disc_weight 0.4000, disc_adaptive_weight 4.2404, d_loss 0.5298, logits_real 0.0150, logits_fake 0.0191,
Train Epoch: [1/30] Iters:[360/468] gen_loss 0.1519, rec_loss 0.0219, lpips_loss 0.2122, g_loss -0.0196, disc_weight 0.4000, disc_adaptive_weight 4.2225, d_loss 0.5240, logits_real 0.0154, logits_fake 0.0198,
Train Epoch: [1/30] Iters:[370/468] gen_loss 0.1455, rec_loss 0.0217, lpips_loss 0.2115, g_loss -0.0203, disc_weight 0.4000, disc_adaptive_weight 4.3794, d_loss 0.5192, logits_real 0.0157, logits_fake 0.0197,
Train Epoch: [1/30] Iters:[380/468] gen_loss 0.1377, rec_loss 0.0217, lpips_loss 0.2109, g_loss -0.0211, disc_weight 0.4000, disc_adaptive_weight 4.5395, d_loss 0.5146, logits_real 0.0160, logits_fake 0.0208,
Train Epoch: [1/30] Iters:[390/468] gen_loss 0.1360, rec_loss 0.0214, lpips_loss 0.2101, g_loss -0.0218, disc_weight 0.4000, disc_adaptive_weight 4.4043, d_loss 0.5103, logits_real 0.0160, logits_fake 0.0212,
Train Epoch: [1/30] Iters:[400/468] gen_loss 0.1307, rec_loss 0.0212, lpips_loss 0.2093, g_loss -0.0220, disc_weight 0.4000, disc_adaptive_weight 4.5586, d_loss 0.5062, logits_real 0.0160, logits_fake 0.0218,
Train Epoch: [1/30] Iters:[410/468] gen_loss 0.1283, rec_loss 0.0212, lpips_loss 0.2094, g_loss -0.0224, disc_weight 0.4000, disc_adaptive_weight 4.5844, d_loss 0.5028, logits_real 0.0163, logits_fake 0.0221,
Train Epoch: [1/30] Iters:[420/468] gen_loss 0.1263, rec_loss 0.0212, lpips_loss 0.2102, g_loss -0.0228, disc_weight 0.4000, disc_adaptive_weight 4.6317, d_loss 0.4989, logits_real 0.0166, logits_fake 0.0229,
Train Epoch: [1/30] Iters:[430/468] gen_loss 0.1292, rec_loss 0.0212, lpips_loss 0.2102, g_loss -0.0232, disc_weight 0.4000, disc_adaptive_weight 4.4109, d_loss 0.4953, logits_real 0.0170, logits_fake 0.0231,
Train Epoch: [1/30] Iters:[440/468] gen_loss 0.1300, rec_loss 0.0210, lpips_loss 0.2102, g_loss -0.0230, disc_weight 0.4000, disc_adaptive_weight 4.4267, d_loss 0.4917, logits_real 0.0172, logits_fake 0.0232,
