Train Epoch: [2/30] Iters:[150/468] gen_loss -0.0877, rec_loss 0.0104, lpips_loss 0.1391, g_loss -0.0531, disc_weight 0.4000, disc_adaptive_weight 4.4763, d_loss 0.4492, logits_real 0.0483, logits_fake 0.0535,
Train Epoch: [2/30] Iters:[160/468] gen_loss -0.0901, rec_loss 0.0104, lpips_loss 0.1388, g_loss -0.0529, disc_weight 0.4000, disc_adaptive_weight 4.5313, d_loss 0.4475, logits_real 0.0483, logits_fake 0.0535,
Train Epoch: [2/30] Iters:[170/468] gen_loss -0.0913, rec_loss 0.0104, lpips_loss 0.1386, g_loss -0.0528, disc_weight 0.4000, disc_adaptive_weight 4.5536, d_loss 0.4459, logits_real 0.0484, logits_fake 0.0532,
Train Epoch: [2/30] Iters:[180/468] gen_loss -0.0983, rec_loss 0.0104, lpips_loss 0.1385, g_loss -0.0528, disc_weight 0.4000, disc_adaptive_weight 4.6837, d_loss 0.4445, logits_real 0.0486, logits_fake 0.0532,
Train Epoch: [2/30] Iters:[190/468] gen_loss -0.1107, rec_loss 0.0105, lpips_loss 0.1385, g_loss -0.0529, disc_weight 0.4000, disc_adaptive_weight 4.9098, d_loss 0.4432, logits_real 0.0487, logits_fake 0.0534,
Train Epoch: [2/30] Iters:[200/468] gen_loss -0.1233, rec_loss 0.0106, lpips_loss 0.1389, g_loss -0.0527, disc_weight 0.4000, disc_adaptive_weight 5.1841, d_loss 0.4419, logits_real 0.0487, logits_fake 0.0532,
Train Epoch: [2/30] Iters:[210/468] gen_loss -0.1333, rec_loss 0.0106, lpips_loss 0.1388, g_loss -0.0527, disc_weight 0.4000, disc_adaptive_weight 5.3727, d_loss 0.4408, logits_real 0.0485, logits_fake 0.0530,
Train Epoch: [2/30] Iters:[220/468] gen_loss -0.1305, rec_loss 0.0106, lpips_loss 0.1393, g_loss -0.0525, disc_weight 0.4000, disc_adaptive_weight 5.3499, d_loss 0.4397, logits_real 0.0482, logits_fake 0.0528,
Train Epoch: [2/30] Iters:[230/468] gen_loss -0.1355, rec_loss 0.0107, lpips_loss 0.1404, g_loss -0.0520, disc_weight 0.4000, disc_adaptive_weight 5.5275, d_loss 0.4383, logits_real 0.0479, logits_fake 0.0521,
Train Epoch: [2/30] Iters:[240/468] gen_loss -0.1333, rec_loss 0.0108, lpips_loss 0.1408, g_loss -0.0518, disc_weight 0.4000, disc_adaptive_weight 5.5185, d_loss 0.4371, logits_real 0.0474, logits_fake 0.0517,
Train Epoch: [2/30] Iters:[250/468] gen_loss -0.1285, rec_loss 0.0108, lpips_loss 0.1411, g_loss -0.0516, disc_weight 0.4000, disc_adaptive_weight 5.4483, d_loss 0.4361, logits_real 0.0473, logits_fake 0.0516,
