Train Epoch: [1/30] Iters:[450/468] gen_loss 0.1269, rec_loss 0.0163, lpips_loss 0.1558, g_loss -0.0161, disc_weight 0.4000, disc_adaptive_weight 2.8450, d_loss 0.5103, logits_real 0.0102, logits_fake 0.0154,
Train Epoch: [1/30] Iters:[460/468] gen_loss 0.1208, rec_loss 0.0161, lpips_loss 0.1556, g_loss -0.0170, disc_weight 0.4000, disc_adaptive_weight 3.0397, d_loss 0.5063, logits_real 0.0111, logits_fake 0.0166,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss 0.0875, rec_loss 0.0155, lpips_loss 0.1553, g_loss -0.0201, disc_weight 0.4000, disc_adaptive_weight 4.0685, d_loss 0.4934, logits_real 0.0147, logits_fake 0.0214,
Train Epoch: [2/30] Iters:[20/468] gen_loss 0.0922, rec_loss 0.0159, lpips_loss 0.1558, g_loss -0.0213, disc_weight 0.4000, disc_adaptive_weight 3.7320, d_loss 0.4931, logits_real 0.0150, logits_fake 0.0223,
Train Epoch: [2/30] Iters:[30/468] gen_loss 0.0899, rec_loss 0.0158, lpips_loss 0.1554, g_loss -0.0222, disc_weight 0.4000, disc_adaptive_weight 3.6806, d_loss 0.4914, logits_real 0.0156, logits_fake 0.0228,
Train Epoch: [2/30] Iters:[40/468] gen_loss 0.0844, rec_loss 0.0156, lpips_loss 0.1551, g_loss -0.0229, disc_weight 0.4000, disc_adaptive_weight 3.7824, d_loss 0.4894, logits_real 0.0164, logits_fake 0.0236,
Train Epoch: [2/30] Iters:[50/468] gen_loss 0.0802, rec_loss 0.0158, lpips_loss 0.1552, g_loss -0.0233, disc_weight 0.4000, disc_adaptive_weight 3.8911, d_loss 0.4882, logits_real 0.0166, logits_fake 0.0242,
Train Epoch: [2/30] Iters:[60/468] gen_loss 0.0707, rec_loss 0.0162, lpips_loss 0.1558, g_loss -0.0248, disc_weight 0.4000, disc_adaptive_weight 4.0645, d_loss 0.4854, logits_real 0.0176, logits_fake 0.0253,
Train Epoch: [2/30] Iters:[70/468] gen_loss 0.0638, rec_loss 0.0164, lpips_loss 0.1567, g_loss -0.0262, disc_weight 0.4000, disc_adaptive_weight 4.1629, d_loss 0.4824, logits_real 0.0185, logits_fake 0.0268,
Train Epoch: [2/30] Iters:[80/468] gen_loss 0.0567, rec_loss 0.0168, lpips_loss 0.1574, g_loss -0.0275, disc_weight 0.4000, disc_adaptive_weight 4.2670, d_loss 0.4798, logits_real 0.0195, logits_fake 0.0281,
Train Epoch: [2/30] Iters:[90/468] gen_loss 0.0538, rec_loss 0.0169, lpips_loss 0.1578, g_loss -0.0287, disc_weight 0.4000, disc_adaptive_weight 4.2169, d_loss 0.4773, logits_real 0.0203, logits_fake 0.0291,
Train Epoch: [2/30] Iters:[100/468] gen_loss 0.0536, rec_loss 0.0168, lpips_loss 0.1578, g_loss -0.0300, disc_weight 0.4000, disc_adaptive_weight 4.0473, d_loss 0.4743, logits_real 0.0215, logits_fake 0.0301,
Train Epoch: [2/30] Iters:[110/468] gen_loss 0.0612, rec_loss 0.0162, lpips_loss 0.1576, g_loss -0.0307, disc_weight 0.4000, disc_adaptive_weight 3.6702, d_loss 0.4717, logits_real 0.0224, logits_fake 0.0309,
Train Epoch: [2/30] Iters:[120/468] gen_loss 0.0583, rec_loss 0.0158, lpips_loss 0.1565, g_loss -0.0308, disc_weight 0.4000, disc_adaptive_weight 3.7070, d_loss 0.4691, logits_real 0.0232, logits_fake 0.0311,
Train Epoch: [2/30] Iters:[130/468] gen_loss 0.0501, rec_loss 0.0155, lpips_loss 0.1562, g_loss -0.0311, disc_weight 0.4000, disc_adaptive_weight 3.9088, d_loss 0.4666, logits_real 0.0239, logits_fake 0.0316,
Train Epoch: [2/30] Iters:[140/468] gen_loss 0.0543, rec_loss 0.0152, lpips_loss 0.1563, g_loss -0.0315, disc_weight 0.4000, disc_adaptive_weight 3.7422, d_loss 0.4644, logits_real 0.0246, logits_fake 0.0320,
Train Epoch: [2/30] Iters:[150/468] gen_loss 0.0524, rec_loss 0.0149, lpips_loss 0.1559, g_loss -0.0318, disc_weight 0.4000, disc_adaptive_weight 3.7526, d_loss 0.4625, logits_real 0.0252, logits_fake 0.0321,
Train Epoch: [2/30] Iters:[160/468] gen_loss 0.0459, rec_loss 0.0148, lpips_loss 0.1553, g_loss -0.0323, disc_weight 0.4000, disc_adaptive_weight 3.8779, d_loss 0.4604, logits_real 0.0258, logits_fake 0.0327,
Train Epoch: [2/30] Iters:[170/468] gen_loss 0.0424, rec_loss 0.0150, lpips_loss 0.1553, g_loss -0.0330, disc_weight 0.4000, disc_adaptive_weight 3.8998, d_loss 0.4585, logits_real 0.0263, logits_fake 0.0331,
Train Epoch: [2/30] Iters:[180/468] gen_loss 0.0496, rec_loss 0.0149, lpips_loss 0.1549, g_loss -0.0336, disc_weight 0.4000, disc_adaptive_weight 3.5913, d_loss 0.4566, logits_real 0.0269, logits_fake 0.0337,
Train Epoch: [2/30] Iters:[190/468] gen_loss 0.0464, rec_loss 0.0148, lpips_loss 0.1546, g_loss -0.0339, disc_weight 0.4000, disc_adaptive_weight 3.6374, d_loss 0.4552, logits_real 0.0272, logits_fake 0.0340,
Train Epoch: [2/30] Iters:[200/468] gen_loss 0.0429, rec_loss 0.0147, lpips_loss 0.1547, g_loss -0.0343, disc_weight 0.4000, disc_adaptive_weight 3.6988, d_loss 0.4533, logits_real 0.0279, logits_fake 0.0347,
Train Epoch: [2/30] Iters:[210/468] gen_loss 0.0382, rec_loss 0.0145, lpips_loss 0.1544, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 3.7975, d_loss 0.4516, logits_real 0.0285, logits_fake 0.0349,
Train Epoch: [2/30] Iters:[220/468] gen_loss 0.0420, rec_loss 0.0139, lpips_loss 0.1542, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 3.6330, d_loss 0.4498, logits_real 0.0290, logits_fake 0.0350,
Train Epoch: [2/30] Iters:[230/468] gen_loss 0.0411, rec_loss 0.0136, lpips_loss 0.1543, g_loss -0.0349, disc_weight 0.4000, disc_adaptive_weight 3.6424, d_loss 0.4482, logits_real 0.0293, logits_fake 0.0349,
Train Epoch: [2/30] Iters:[240/468] gen_loss 0.0305, rec_loss 0.0135, lpips_loss 0.1542, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 3.9103, d_loss 0.4468, logits_real 0.0296, logits_fake 0.0352,
Train Epoch: [2/30] Iters:[250/468] gen_loss 0.0327, rec_loss 0.0134, lpips_loss 0.1545, g_loss -0.0355, disc_weight 0.4000, disc_adaptive_weight 3.8149, d_loss 0.4453, logits_real 0.0298, logits_fake 0.0352,
Train Epoch: [2/30] Iters:[260/468] gen_loss 0.0303, rec_loss 0.0133, lpips_loss 0.1549, g_loss -0.0356, disc_weight 0.4000, disc_adaptive_weight 3.8764, d_loss 0.4440, logits_real 0.0301, logits_fake 0.0354,
Train Epoch: [2/30] Iters:[270/468] gen_loss 0.0174, rec_loss 0.0133, lpips_loss 0.1549, g_loss -0.0359, disc_weight 0.4000, disc_adaptive_weight 4.1979, d_loss 0.4428, logits_real 0.0303, logits_fake 0.0357,
Train Epoch: [2/30] Iters:[280/468] gen_loss 0.0146, rec_loss 0.0134, lpips_loss 0.1545, g_loss -0.0360, disc_weight 0.4000, disc_adaptive_weight 4.2499, d_loss 0.4416, logits_real 0.0306, logits_fake 0.0360,
Train Epoch: [2/30] Iters:[290/468] gen_loss 0.0165, rec_loss 0.0132, lpips_loss 0.1543, g_loss -0.0362, disc_weight 0.4000, disc_adaptive_weight 4.1747, d_loss 0.4403, logits_real 0.0309, logits_fake 0.0360,
Train Epoch: [2/30] Iters:[300/468] gen_loss 0.0074, rec_loss 0.0132, lpips_loss 0.1540, g_loss -0.0364, disc_weight 0.4000, disc_adaptive_weight 4.3939, d_loss 0.4393, logits_real 0.0308, logits_fake 0.0360,
Train Epoch: [2/30] Iters:[310/468] gen_loss 0.0057, rec_loss 0.0133, lpips_loss 0.1539, g_loss -0.0364, disc_weight 0.4000, disc_adaptive_weight 4.4364, d_loss 0.4385, logits_real 0.0307, logits_fake 0.0362,
Train Epoch: [2/30] Iters:[320/468] gen_loss 0.0190, rec_loss 0.0132, lpips_loss 0.1539, g_loss -0.0360, disc_weight 0.4000, disc_adaptive_weight 4.1038, d_loss 0.4375, logits_real 0.0304, logits_fake 0.0358,
Train Epoch: [2/30] Iters:[330/468] gen_loss 0.0076, rec_loss 0.0132, lpips_loss 0.1545, g_loss -0.0358, disc_weight 0.4000, disc_adaptive_weight 4.4779, d_loss 0.4367, logits_real 0.0300, logits_fake 0.0354,
Train Epoch: [2/30] Iters:[340/468] gen_loss 0.0067, rec_loss 0.0134, lpips_loss 0.1546, g_loss -0.0353, disc_weight 0.4000, disc_adaptive_weight 4.5776, d_loss 0.4360, logits_real 0.0296, logits_fake 0.0350,
Train Epoch: [2/30] Iters:[350/468] gen_loss 0.0093, rec_loss 0.0137, lpips_loss 0.1547, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 4.5779, d_loss 0.4351, logits_real 0.0292, logits_fake 0.0348,
