Train Epoch: [2/30] Iters:[170/468] gen_loss -0.2300, rec_loss 0.0104, lpips_loss 0.1351, g_loss -0.1032, disc_weight 0.4000, disc_adaptive_weight 3.6389, d_loss 0.4491, logits_real 0.0964, logits_fake 0.1030,
Train Epoch: [2/30] Iters:[180/468] gen_loss -0.2499, rec_loss 0.0104, lpips_loss 0.1349, g_loss -0.1038, disc_weight 0.4000, disc_adaptive_weight 3.8085, d_loss 0.4477, logits_real 0.0969, logits_fake 0.1039,
Train Epoch: [2/30] Iters:[190/468] gen_loss -0.2404, rec_loss 0.0104, lpips_loss 0.1348, g_loss -0.1041, disc_weight 0.4000, disc_adaptive_weight 3.7066, d_loss 0.4466, logits_real 0.0973, logits_fake 0.1041,
Train Epoch: [2/30] Iters:[200/468] gen_loss -0.2335, rec_loss 0.0105, lpips_loss 0.1348, g_loss -0.1040, disc_weight 0.4000, disc_adaptive_weight 3.6424, d_loss 0.4455, logits_real 0.0976, logits_fake 0.1043,
Train Epoch: [2/30] Iters:[210/468] gen_loss -0.2442, rec_loss 0.0104, lpips_loss 0.1345, g_loss -0.1043, disc_weight 0.4000, disc_adaptive_weight 3.7297, d_loss 0.4441, logits_real 0.0979, logits_fake 0.1046,
Train Epoch: [2/30] Iters:[220/468] gen_loss -0.2458, rec_loss 0.0103, lpips_loss 0.1348, g_loss -0.1045, disc_weight 0.4000, disc_adaptive_weight 3.7401, d_loss 0.4428, logits_real 0.0981, logits_fake 0.1047,
Train Epoch: [2/30] Iters:[230/468] gen_loss -0.2342, rec_loss 0.0103, lpips_loss 0.1355, g_loss -0.1044, disc_weight 0.4000, disc_adaptive_weight 3.6358, d_loss 0.4417, logits_real 0.0981, logits_fake 0.1043,
Train Epoch: [2/30] Iters:[240/468] gen_loss -0.2430, rec_loss 0.0102, lpips_loss 0.1354, g_loss -0.1047, disc_weight 0.4000, disc_adaptive_weight 3.7113, d_loss 0.4403, logits_real 0.0984, logits_fake 0.1046,
Train Epoch: [2/30] Iters:[250/468] gen_loss -0.2602, rec_loss 0.0102, lpips_loss 0.1357, g_loss -0.1047, disc_weight 0.4000, disc_adaptive_weight 3.8775, d_loss 0.4391, logits_real 0.0985, logits_fake 0.1047,
Train Epoch: [2/30] Iters:[260/468] gen_loss -0.2531, rec_loss 0.0102, lpips_loss 0.1361, g_loss -0.1046, disc_weight 0.4000, disc_adaptive_weight 3.8219, d_loss 0.4383, logits_real 0.0984, logits_fake 0.1047,
Train Epoch: [2/30] Iters:[270/468] gen_loss -0.2710, rec_loss 0.0103, lpips_loss 0.1359, g_loss -0.1044, disc_weight 0.4000, disc_adaptive_weight 4.0002, d_loss 0.4372, logits_real 0.0985, logits_fake 0.1045,
Train Epoch: [2/30] Iters:[280/468] gen_loss -0.2840, rec_loss 0.0101, lpips_loss 0.1351, g_loss -0.1042, disc_weight 0.4000, disc_adaptive_weight 4.1229, d_loss 0.4361, logits_real 0.0986, logits_fake 0.1044,
Train Epoch: [2/30] Iters:[290/468] gen_loss -0.2872, rec_loss 0.0101, lpips_loss 0.1351, g_loss -0.1040, disc_weight 0.4000, disc_adaptive_weight 4.1620, d_loss 0.4352, logits_real 0.0983, logits_fake 0.1040,
Train Epoch: [2/30] Iters:[300/468] gen_loss -0.2792, rec_loss 0.0100, lpips_loss 0.1349, g_loss -0.1036, disc_weight 0.4000, disc_adaptive_weight 4.0960, d_loss 0.4342, logits_real 0.0980, logits_fake 0.1035,
Train Epoch: [2/30] Iters:[310/468] gen_loss -0.2851, rec_loss 0.0100, lpips_loss 0.1348, g_loss -0.1031, disc_weight 0.4000, disc_adaptive_weight 4.1687, d_loss 0.4333, logits_real 0.0978, logits_fake 0.1031,
Train Epoch: [2/30] Iters:[320/468] gen_loss -0.2797, rec_loss 0.0100, lpips_loss 0.1347, g_loss -0.1029, disc_weight 0.4000, disc_adaptive_weight 4.1279, d_loss 0.4326, logits_real 0.0975, logits_fake 0.1027,
Train Epoch: [2/30] Iters:[330/468] gen_loss -0.2735, rec_loss 0.0100, lpips_loss 0.1350, g_loss -0.1026, disc_weight 0.4000, disc_adaptive_weight 4.0832, d_loss 0.4320, logits_real 0.0971, logits_fake 0.1025,
Train Epoch: [2/30] Iters:[340/468] gen_loss -0.2667, rec_loss 0.0101, lpips_loss 0.1348, g_loss -0.1021, disc_weight 0.4000, disc_adaptive_weight 4.0320, d_loss 0.4313, logits_real 0.0969, logits_fake 0.1023,
Train Epoch: [2/30] Iters:[350/468] gen_loss -0.2522, rec_loss 0.0101, lpips_loss 0.1346, g_loss -0.1019, disc_weight 0.4000, disc_adaptive_weight 3.8958, d_loss 0.4306, logits_real 0.0968, logits_fake 0.1021,
Train Epoch: [2/30] Iters:[360/468] gen_loss -0.2407, rec_loss 0.0101, lpips_loss 0.1344, g_loss -0.1019, disc_weight 0.4000, disc_adaptive_weight 3.7794, d_loss 0.4299, logits_real 0.0969, logits_fake 0.1020,
Train Epoch: [2/30] Iters:[370/468] gen_loss -0.2438, rec_loss 0.0100, lpips_loss 0.1339, g_loss -0.1019, disc_weight 0.4000, disc_adaptive_weight 3.8080, d_loss 0.4291, logits_real 0.0968, logits_fake 0.1019,
Train Epoch: [2/30] Iters:[380/468] gen_loss -0.2435, rec_loss 0.0101, lpips_loss 0.1340, g_loss -0.1019, disc_weight 0.4000, disc_adaptive_weight 3.8052, d_loss 0.4283, logits_real 0.0970, logits_fake 0.1018,
Train Epoch: [2/30] Iters:[390/468] gen_loss -0.2482, rec_loss 0.0100, lpips_loss 0.1343, g_loss -0.1022, disc_weight 0.4000, disc_adaptive_weight 3.8391, d_loss 0.4277, logits_real 0.0973, logits_fake 0.1020,
Train Epoch: [2/30] Iters:[400/468] gen_loss -0.2665, rec_loss 0.0100, lpips_loss 0.1347, g_loss -0.1025, disc_weight 0.4000, disc_adaptive_weight 4.0118, d_loss 0.4272, logits_real 0.0972, logits_fake 0.1021,
Train Epoch: [2/30] Iters:[410/468] gen_loss -0.2749, rec_loss 0.0099, lpips_loss 0.1349, g_loss -0.1026, disc_weight 0.4000, disc_adaptive_weight 4.0924, d_loss 0.4266, logits_real 0.0971, logits_fake 0.1020,
