Train Epoch: [2/30] Iters:[40/468] gen_loss 0.4600, rec_loss 0.0112, lpips_loss 0.1463, g_loss 0.0746, disc_weight 0.4000, disc_adaptive_weight 4.0494, d_loss 0.4956, logits_real -0.0798, logits_fake -0.0747,
Train Epoch: [2/30] Iters:[50/468] gen_loss 0.4519, rec_loss 0.0112, lpips_loss 0.1459, g_loss 0.0750, disc_weight 0.4000, disc_adaptive_weight 3.9259, d_loss 0.4939, logits_real -0.0800, logits_fake -0.0749,
Train Epoch: [2/30] Iters:[60/468] gen_loss 0.4630, rec_loss 0.0111, lpips_loss 0.1456, g_loss 0.0754, disc_weight 0.4000, disc_adaptive_weight 4.0561, d_loss 0.4903, logits_real -0.0802, logits_fake -0.0752,
Train Epoch: [2/30] Iters:[70/468] gen_loss 0.4659, rec_loss 0.0110, lpips_loss 0.1455, g_loss 0.0756, disc_weight 0.4000, disc_adaptive_weight 4.0865, d_loss 0.4875, logits_real -0.0806, logits_fake -0.0752,
Train Epoch: [2/30] Iters:[80/468] gen_loss 0.4542, rec_loss 0.0109, lpips_loss 0.1455, g_loss 0.0757, disc_weight 0.4000, disc_adaptive_weight 3.9249, d_loss 0.4845, logits_real -0.0809, logits_fake -0.0751,
Train Epoch: [2/30] Iters:[90/468] gen_loss 0.4528, rec_loss 0.0109, lpips_loss 0.1454, g_loss 0.0764, disc_weight 0.4000, disc_adaptive_weight 3.8728, d_loss 0.4812, logits_real -0.0811, logits_fake -0.0760,
Train Epoch: [2/30] Iters:[100/468] gen_loss 0.4615, rec_loss 0.0109, lpips_loss 0.1457, g_loss 0.0764, disc_weight 0.4000, disc_adaptive_weight 3.9812, d_loss 0.4782, logits_real -0.0812, logits_fake -0.0763,
Train Epoch: [2/30] Iters:[110/468] gen_loss 0.4611, rec_loss 0.0110, lpips_loss 0.1462, g_loss 0.0767, disc_weight 0.4000, disc_adaptive_weight 3.9524, d_loss 0.4757, logits_real -0.0815, logits_fake -0.0768,
Train Epoch: [2/30] Iters:[120/468] gen_loss 0.4642, rec_loss 0.0110, lpips_loss 0.1461, g_loss 0.0772, disc_weight 0.4000, disc_adaptive_weight 3.9655, d_loss 0.4731, logits_real -0.0817, logits_fake -0.0770,
Train Epoch: [2/30] Iters:[130/468] gen_loss 0.4818, rec_loss 0.0112, lpips_loss 0.1463, g_loss 0.0776, disc_weight 0.4000, disc_adaptive_weight 4.1722, d_loss 0.4706, logits_real -0.0817, logits_fake -0.0776,
