Train Epoch: [2/30] Iters:[160/468] gen_loss -0.4095, rec_loss 0.0113, lpips_loss 0.1424, g_loss -0.1392, disc_weight 0.4000, disc_adaptive_weight 4.0463, d_loss 0.4546, logits_real 0.1333, logits_fake 0.1394,
Train Epoch: [2/30] Iters:[170/468] gen_loss -0.4172, rec_loss 0.0112, lpips_loss 0.1419, g_loss -0.1388, disc_weight 0.4000, disc_adaptive_weight 4.1124, d_loss 0.4530, logits_real 0.1331, logits_fake 0.1388,
Train Epoch: [2/30] Iters:[180/468] gen_loss -0.4566, rec_loss 0.0113, lpips_loss 0.1418, g_loss -0.1384, disc_weight 0.4000, disc_adaptive_weight 4.4098, d_loss 0.4517, logits_real 0.1325, logits_fake 0.1383,
Train Epoch: [2/30] Iters:[190/468] gen_loss -0.4669, rec_loss 0.0113, lpips_loss 0.1417, g_loss -0.1379, disc_weight 0.4000, disc_adaptive_weight 4.4979, d_loss 0.4501, logits_real 0.1321, logits_fake 0.1377,
Train Epoch: [2/30] Iters:[200/468] gen_loss -0.4839, rec_loss 0.0114, lpips_loss 0.1418, g_loss -0.1374, disc_weight 0.4000, disc_adaptive_weight 4.6401, d_loss 0.4488, logits_real 0.1318, logits_fake 0.1375,
Train Epoch: [2/30] Iters:[210/468] gen_loss -0.5682, rec_loss 0.0113, lpips_loss 0.1416, g_loss -0.1373, disc_weight 0.4000, disc_adaptive_weight 5.2531, d_loss 0.4472, logits_real 0.1316, logits_fake 0.1374,
Train Epoch: [2/30] Iters:[220/468] gen_loss -0.5598, rec_loss 0.0114, lpips_loss 0.1424, g_loss -0.1373, disc_weight 0.4000, disc_adaptive_weight 5.1958, d_loss 0.4459, logits_real 0.1315, logits_fake 0.1374,
Train Epoch: [2/30] Iters:[230/468] gen_loss -0.5330, rec_loss 0.0113, lpips_loss 0.1428, g_loss -0.1374, disc_weight 0.4000, disc_adaptive_weight 5.0008, d_loss 0.4443, logits_real 0.1315, logits_fake 0.1374,
Train Epoch: [2/30] Iters:[240/468] gen_loss -0.5827, rec_loss 0.0112, lpips_loss 0.1428, g_loss -0.1377, disc_weight 0.4000, disc_adaptive_weight 5.3493, d_loss 0.4432, logits_real 0.1315, logits_fake 0.1377,
Train Epoch: [2/30] Iters:[250/468] gen_loss -0.5998, rec_loss 0.0113, lpips_loss 0.1433, g_loss -0.1380, disc_weight 0.4000, disc_adaptive_weight 5.4690, d_loss 0.4421, logits_real 0.1314, logits_fake 0.1378,
Train Epoch: [2/30] Iters:[260/468] gen_loss -0.5465, rec_loss 0.0114, lpips_loss 0.1438, g_loss -0.1381, disc_weight 0.4000, disc_adaptive_weight 5.0842, d_loss 0.4412, logits_real 0.1313, logits_fake 0.1380,
Train Epoch: [2/30] Iters:[270/468] gen_loss -0.5593, rec_loss 0.0114, lpips_loss 0.1435, g_loss -0.1382, disc_weight 0.4000, disc_adaptive_weight 5.1706, d_loss 0.4400, logits_real 0.1314, logits_fake 0.1382,
Train Epoch: [2/30] Iters:[280/468] gen_loss -0.5994, rec_loss 0.0114, lpips_loss 0.1432, g_loss -0.1381, disc_weight 0.4000, disc_adaptive_weight 5.4639, d_loss 0.4390, logits_real 0.1314, logits_fake 0.1384,
Train Epoch: [2/30] Iters:[290/468] gen_loss -0.5794, rec_loss 0.0115, lpips_loss 0.1432, g_loss -0.1380, disc_weight 0.4000, disc_adaptive_weight 5.3187, d_loss 0.4379, logits_real 0.1316, logits_fake 0.1385,
Train Epoch: [2/30] Iters:[300/468] gen_loss -0.5932, rec_loss 0.0114, lpips_loss 0.1430, g_loss -0.1381, disc_weight 0.4000, disc_adaptive_weight 5.4122, d_loss 0.4368, logits_real 0.1316, logits_fake 0.1386,
Train Epoch: [2/30] Iters:[310/468] gen_loss -0.6284, rec_loss 0.0114, lpips_loss 0.1430, g_loss -0.1380, disc_weight 0.4000, disc_adaptive_weight 5.6692, d_loss 0.4361, logits_real 0.1317, logits_fake 0.1385,
Train Epoch: [2/30] Iters:[320/468] gen_loss -0.6516, rec_loss 0.0114, lpips_loss 0.1434, g_loss -0.1381, disc_weight 0.4000, disc_adaptive_weight 5.8358, d_loss 0.4353, logits_real 0.1316, logits_fake 0.1384,
Train Epoch: [2/30] Iters:[330/468] gen_loss -0.6223, rec_loss 0.0114, lpips_loss 0.1439, g_loss -0.1383, disc_weight 0.4000, disc_adaptive_weight 5.6209, d_loss 0.4345, logits_real 0.1316, logits_fake 0.1381,
Train Epoch: [2/30] Iters:[340/468] gen_loss -0.6196, rec_loss 0.0115, lpips_loss 0.1441, g_loss -0.1380, disc_weight 0.4000, disc_adaptive_weight 5.6145, d_loss 0.4337, logits_real 0.1315, logits_fake 0.1378,
Train Epoch: [2/30] Iters:[350/468] gen_loss -0.5814, rec_loss 0.0116, lpips_loss 0.1440, g_loss -0.1377, disc_weight 0.4000, disc_adaptive_weight 5.3524, d_loss 0.4329, logits_real 0.1314, logits_fake 0.1373,
Train Epoch: [2/30] Iters:[360/468] gen_loss -0.5741, rec_loss 0.0116, lpips_loss 0.1439, g_loss -0.1374, disc_weight 0.4000, disc_adaptive_weight 5.3113, d_loss 0.4320, logits_real 0.1310, logits_fake 0.1370,
Train Epoch: [2/30] Iters:[370/468] gen_loss -0.5550, rec_loss 0.0115, lpips_loss 0.1431, g_loss -0.1368, disc_weight 0.4000, disc_adaptive_weight 5.1872, d_loss 0.4312, logits_real 0.1306, logits_fake 0.1366,
Train Epoch: [2/30] Iters:[380/468] gen_loss -0.5286, rec_loss 0.0114, lpips_loss 0.1428, g_loss -0.1364, disc_weight 0.4000, disc_adaptive_weight 5.0081, d_loss 0.4304, logits_real 0.1302, logits_fake 0.1362,
Train Epoch: [2/30] Iters:[390/468] gen_loss -0.5142, rec_loss 0.0112, lpips_loss 0.1424, g_loss -0.1362, disc_weight 0.4000, disc_adaptive_weight 4.9069, d_loss 0.4296, logits_real 0.1297, logits_fake 0.1360,
Train Epoch: [2/30] Iters:[400/468] gen_loss -0.5039, rec_loss 0.0111, lpips_loss 0.1424, g_loss -0.1359, disc_weight 0.4000, disc_adaptive_weight 4.8387, d_loss 0.4289, logits_real 0.1294, logits_fake 0.1357,
Train Epoch: [2/30] Iters:[410/468] gen_loss -0.4662, rec_loss 0.0110, lpips_loss 0.1420, g_loss -0.1356, disc_weight 0.4000, disc_adaptive_weight 4.5717, d_loss 0.4282, logits_real 0.1293, logits_fake 0.1354,
Train Epoch: [2/30] Iters:[420/468] gen_loss -0.4568, rec_loss 0.0111, lpips_loss 0.1420, g_loss -0.1353, disc_weight 0.4000, disc_adaptive_weight 4.5087, d_loss 0.4276, logits_real 0.1292, logits_fake 0.1352,
Train Epoch: [2/30] Iters:[430/468] gen_loss -0.5369, rec_loss 0.0110, lpips_loss 0.1417, g_loss -0.1351, disc_weight 0.4000, disc_adaptive_weight 5.1100, d_loss 0.4270, logits_real 0.1290, logits_fake 0.1354,
Train Epoch: [2/30] Iters:[440/468] gen_loss -0.5606, rec_loss 0.0111, lpips_loss 0.1420, g_loss -0.1352, disc_weight 0.4000, disc_adaptive_weight 5.2823, d_loss 0.4265, logits_real 0.1290, logits_fake 0.1354,
Train Epoch: [2/30] Iters:[450/468] gen_loss -0.5704, rec_loss 0.0111, lpips_loss 0.1422, g_loss -0.1350, disc_weight 0.4000, disc_adaptive_weight 5.3662, d_loss 0.4259, logits_real 0.1289, logits_fake 0.1351,
Train Epoch: [2/30] Iters:[460/468] gen_loss -0.5779, rec_loss 0.0112, lpips_loss 0.1424, g_loss -0.1348, disc_weight 0.4000, disc_adaptive_weight 5.4272, d_loss 0.4254, logits_real 0.1288, logits_fake 0.1349,
epoch:3, cur_lr:0.000010
Train Epoch: [3/30] Iters:[10/468] gen_loss -0.3849, rec_loss 0.0109, lpips_loss 0.1430, g_loss -0.1346, disc_weight 0.4000, disc_adaptive_weight 4.0021, d_loss 0.4237, logits_real 0.1271, logits_fake 0.1336,
Train Epoch: [3/30] Iters:[20/468] gen_loss -0.4498, rec_loss 0.0111, lpips_loss 0.1432, g_loss -0.1337, disc_weight 0.4000, disc_adaptive_weight 4.5230, d_loss 0.4232, logits_real 0.1271, logits_fake 0.1331,
Train Epoch: [3/30] Iters:[30/468] gen_loss -0.4298, rec_loss 0.0110, lpips_loss 0.1437, g_loss -0.1334, disc_weight 0.4000, disc_adaptive_weight 4.3871, d_loss 0.4228, logits_real 0.1269, logits_fake 0.1325,
Train Epoch: [3/30] Iters:[40/468] gen_loss -0.4536, rec_loss 0.0111, lpips_loss 0.1434, g_loss -0.1327, disc_weight 0.4000, disc_adaptive_weight 4.5910, d_loss 0.4225, logits_real 0.1266, logits_fake 0.1321,
Train Epoch: [3/30] Iters:[50/468] gen_loss -0.4667, rec_loss 0.0110, lpips_loss 0.1426, g_loss -0.1323, disc_weight 0.4000, disc_adaptive_weight 4.7008, d_loss 0.4223, logits_real 0.1264, logits_fake 0.1318,
Train Epoch: [3/30] Iters:[60/468] gen_loss -0.4994, rec_loss 0.0111, lpips_loss 0.1423, g_loss -0.1315, disc_weight 0.4000, disc_adaptive_weight 4.9738, d_loss 0.4219, logits_real 0.1260, logits_fake 0.1311,
Train Epoch: [3/30] Iters:[70/468] gen_loss -0.4837, rec_loss 0.0110, lpips_loss 0.1419, g_loss -0.1310, disc_weight 0.4000, disc_adaptive_weight 4.8707, d_loss 0.4214, logits_real 0.1255, logits_fake 0.1307,
Train Epoch: [3/30] Iters:[80/468] gen_loss -0.5011, rec_loss 0.0109, lpips_loss 0.1410, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 5.0148, d_loss 0.4209, logits_real 0.1251, logits_fake 0.1305,
Train Epoch: [3/30] Iters:[90/468] gen_loss -0.4957, rec_loss 0.0109, lpips_loss 0.1405, g_loss -0.1304, disc_weight 0.4000, disc_adaptive_weight 4.9715, d_loss 0.4205, logits_real 0.1249, logits_fake 0.1302,
Train Epoch: [3/30] Iters:[100/468] gen_loss -0.5037, rec_loss 0.0109, lpips_loss 0.1411, g_loss -0.1303, disc_weight 0.4000, disc_adaptive_weight 5.0389, d_loss 0.4201, logits_real 0.1246, logits_fake 0.1302,
Train Epoch: [3/30] Iters:[110/468] gen_loss -0.5014, rec_loss 0.0109, lpips_loss 0.1412, g_loss -0.1302, disc_weight 0.4000, disc_adaptive_weight 5.0247, d_loss 0.4198, logits_real 0.1246, logits_fake 0.1302,
