Train Epoch: [1/30] Iters:[500/1093] gen_loss -0.4068, rec_loss 0.0129, lpips_loss 0.1453, g_loss -0.1311, disc_weight 0.4000, disc_adaptive_weight 4.3110, d_loss 0.4869, logits_real 0.1249, logits_fake 0.1310,
Train Epoch: [1/30] Iters:[510/1093] gen_loss -0.3881, rec_loss 0.0127, lpips_loss 0.1449, g_loss -0.1313, disc_weight 0.4000, disc_adaptive_weight 4.1592, d_loss 0.4844, logits_real 0.1251, logits_fake 0.1312,
Train Epoch: [1/30] Iters:[520/1093] gen_loss -0.3818, rec_loss 0.0125, lpips_loss 0.1439, g_loss -0.1314, disc_weight 0.4000, disc_adaptive_weight 4.0977, d_loss 0.4814, logits_real 0.1254, logits_fake 0.1314,
Train Epoch: [1/30] Iters:[530/1093] gen_loss -0.4345, rec_loss 0.0125, lpips_loss 0.1434, g_loss -0.1314, disc_weight 0.4000, disc_adaptive_weight 4.4954, d_loss 0.4783, logits_real 0.1257, logits_fake 0.1313,
Train Epoch: [1/30] Iters:[540/1093] gen_loss -0.4136, rec_loss 0.0123, lpips_loss 0.1435, g_loss -0.1313, disc_weight 0.4000, disc_adaptive_weight 4.3387, d_loss 0.4758, logits_real 0.1258, logits_fake 0.1312,
Train Epoch: [1/30] Iters:[550/1093] gen_loss -0.4606, rec_loss 0.0120, lpips_loss 0.1422, g_loss -0.1311, disc_weight 0.4000, disc_adaptive_weight 4.6951, d_loss 0.4730, logits_real 0.1257, logits_fake 0.1310,
Train Epoch: [1/30] Iters:[560/1093] gen_loss -0.5510, rec_loss 0.0122, lpips_loss 0.1428, g_loss -0.1312, disc_weight 0.4000, disc_adaptive_weight 5.3792, d_loss 0.4707, logits_real 0.1256, logits_fake 0.1311,
Train Epoch: [1/30] Iters:[570/1093] gen_loss -0.5816, rec_loss 0.0125, lpips_loss 0.1442, g_loss -0.1317, disc_weight 0.4000, disc_adaptive_weight 5.6062, d_loss 0.4689, logits_real 0.1254, logits_fake 0.1316,
Train Epoch: [1/30] Iters:[580/1093] gen_loss -0.5458, rec_loss 0.0125, lpips_loss 0.1441, g_loss -0.1318, disc_weight 0.4000, disc_adaptive_weight 5.3305, d_loss 0.4669, logits_real 0.1251, logits_fake 0.1317,
Train Epoch: [1/30] Iters:[590/1093] gen_loss -0.5664, rec_loss 0.0125, lpips_loss 0.1441, g_loss -0.1317, disc_weight 0.4000, disc_adaptive_weight 5.4944, d_loss 0.4649, logits_real 0.1248, logits_fake 0.1317,
