Train Epoch: [1/30] Iters:[370/1093] gen_loss 0.1101, rec_loss 0.0125, lpips_loss 0.1484, g_loss -0.0157, disc_weight 0.4000, disc_adaptive_weight 3.2635, d_loss 0.5191, logits_real 0.0149, logits_fake 0.0157,
Train Epoch: [1/30] Iters:[380/1093] gen_loss 0.1112, rec_loss 0.0124, lpips_loss 0.1485, g_loss -0.0154, disc_weight 0.4000, disc_adaptive_weight 3.2561, d_loss 0.5154, logits_real 0.0140, logits_fake 0.0155,
Train Epoch: [1/30] Iters:[390/1093] gen_loss 0.1127, rec_loss 0.0123, lpips_loss 0.1478, g_loss -0.0150, disc_weight 0.4000, disc_adaptive_weight 3.2070, d_loss 0.5123, logits_real 0.0129, logits_fake 0.0153,
Train Epoch: [1/30] Iters:[400/1093] gen_loss 0.1149, rec_loss 0.0124, lpips_loss 0.1485, g_loss -0.0143, disc_weight 0.4000, disc_adaptive_weight 3.2574, d_loss 0.5086, logits_real 0.0118, logits_fake 0.0147,
Train Epoch: [1/30] Iters:[410/1093] gen_loss 0.1169, rec_loss 0.0124, lpips_loss 0.1488, g_loss -0.0135, disc_weight 0.4000, disc_adaptive_weight 3.2994, d_loss 0.5048, logits_real 0.0106, logits_fake 0.0139,
Train Epoch: [1/30] Iters:[420/1093] gen_loss 0.1214, rec_loss 0.0122, lpips_loss 0.1488, g_loss -0.0127, disc_weight 0.4000, disc_adaptive_weight 3.1541, d_loss 0.5016, logits_real 0.0096, logits_fake 0.0132,
Train Epoch: [1/30] Iters:[430/1093] gen_loss 0.1255, rec_loss 0.0123, lpips_loss 0.1488, g_loss -0.0112, disc_weight 0.4000, disc_adaptive_weight 3.1652, d_loss 0.4979, logits_real 0.0083, logits_fake 0.0120,
Train Epoch: [1/30] Iters:[440/1093] gen_loss 0.1311, rec_loss 0.0124, lpips_loss 0.1494, g_loss -0.0101, disc_weight 0.4000, disc_adaptive_weight 3.0806, d_loss 0.4941, logits_real 0.0070, logits_fake 0.0106,
Train Epoch: [1/30] Iters:[450/1093] gen_loss 0.1344, rec_loss 0.0123, lpips_loss 0.1484, g_loss -0.0089, disc_weight 0.4000, disc_adaptive_weight 2.9901, d_loss 0.4908, logits_real 0.0057, logits_fake 0.0094,
Train Epoch: [1/30] Iters:[460/1093] gen_loss 0.1383, rec_loss 0.0122, lpips_loss 0.1479, g_loss -0.0074, disc_weight 0.4000, disc_adaptive_weight 3.0528, d_loss 0.4873, logits_real 0.0046, logits_fake 0.0079,
