Train Epoch: [1/30] Iters:[270/1093] gen_loss 0.0806, rec_loss 0.0116, lpips_loss 0.1415, g_loss -0.0235, disc_weight 0.4000, disc_adaptive_weight 3.0921, d_loss 0.5751, logits_real 0.0260, logits_fake 0.0235,
Train Epoch: [1/30] Iters:[280/1093] gen_loss 0.0811, rec_loss 0.0115, lpips_loss 0.1403, g_loss -0.0235, disc_weight 0.4000, disc_adaptive_weight 3.0290, d_loss 0.5685, logits_real 0.0247, logits_fake 0.0231,
Train Epoch: [1/30] Iters:[290/1093] gen_loss 0.0819, rec_loss 0.0112, lpips_loss 0.1394, g_loss -0.0229, disc_weight 0.4000, disc_adaptive_weight 3.0034, d_loss 0.5612, logits_real 0.0234, logits_fake 0.0225,
Train Epoch: [1/30] Iters:[300/1093] gen_loss 0.0801, rec_loss 0.0112, lpips_loss 0.1389, g_loss -0.0225, disc_weight 0.4000, disc_adaptive_weight 3.1299, d_loss 0.5557, logits_real 0.0223, logits_fake 0.0220,
Train Epoch: [1/30] Iters:[310/1093] gen_loss 0.0827, rec_loss 0.0112, lpips_loss 0.1387, g_loss -0.0220, disc_weight 0.4000, disc_adaptive_weight 3.0757, d_loss 0.5498, logits_real 0.0210, logits_fake 0.0215,
Train Epoch: [1/30] Iters:[320/1093] gen_loss 0.0834, rec_loss 0.0111, lpips_loss 0.1383, g_loss -0.0216, disc_weight 0.4000, disc_adaptive_weight 3.0706, d_loss 0.5442, logits_real 0.0199, logits_fake 0.0213,
Train Epoch: [1/30] Iters:[330/1093] gen_loss 0.0842, rec_loss 0.0109, lpips_loss 0.1379, g_loss -0.0208, disc_weight 0.4000, disc_adaptive_weight 3.1223, d_loss 0.5388, logits_real 0.0187, logits_fake 0.0206,
Train Epoch: [1/30] Iters:[340/1093] gen_loss 0.0830, rec_loss 0.0110, lpips_loss 0.1377, g_loss -0.0199, disc_weight 0.4000, disc_adaptive_weight 3.3181, d_loss 0.5337, logits_real 0.0179, logits_fake 0.0197,
Train Epoch: [1/30] Iters:[350/1093] gen_loss 0.0885, rec_loss 0.0109, lpips_loss 0.1373, g_loss -0.0191, disc_weight 0.4000, disc_adaptive_weight 3.1315, d_loss 0.5286, logits_real 0.0168, logits_fake 0.0191,
Train Epoch: [1/30] Iters:[360/1093] gen_loss 0.0905, rec_loss 0.0110, lpips_loss 0.1372, g_loss -0.0186, disc_weight 0.4000, disc_adaptive_weight 3.1379, d_loss 0.5243, logits_real 0.0158, logits_fake 0.0185,
Train Epoch: [1/30] Iters:[370/1093] gen_loss 0.0914, rec_loss 0.0110, lpips_loss 0.1376, g_loss -0.0177, disc_weight 0.4000, disc_adaptive_weight 3.2404, d_loss 0.5198, logits_real 0.0147, logits_fake 0.0174,
Train Epoch: [1/30] Iters:[380/1093] gen_loss 0.0937, rec_loss 0.0111, lpips_loss 0.1379, g_loss -0.0171, disc_weight 0.4000, disc_adaptive_weight 3.2247, d_loss 0.5161, logits_real 0.0139, logits_fake 0.0170,
Train Epoch: [1/30] Iters:[390/1093] gen_loss 0.0956, rec_loss 0.0109, lpips_loss 0.1373, g_loss -0.0166, disc_weight 0.4000, disc_adaptive_weight 3.1661, d_loss 0.5129, logits_real 0.0128, logits_fake 0.0168,
Train Epoch: [1/30] Iters:[400/1093] gen_loss 0.0988, rec_loss 0.0110, lpips_loss 0.1379, g_loss -0.0159, disc_weight 0.4000, disc_adaptive_weight 3.1375, d_loss 0.5092, logits_real 0.0118, logits_fake 0.0163,
Train Epoch: [1/30] Iters:[410/1093] gen_loss 0.1042, rec_loss 0.0110, lpips_loss 0.1381, g_loss -0.0149, disc_weight 0.4000, disc_adaptive_weight 3.0013, d_loss 0.5054, logits_real 0.0107, logits_fake 0.0152,
Train Epoch: [1/30] Iters:[420/1093] gen_loss 0.1080, rec_loss 0.0108, lpips_loss 0.1381, g_loss -0.0137, disc_weight 0.4000, disc_adaptive_weight 3.0272, d_loss 0.5020, logits_real 0.0097, logits_fake 0.0142,
Train Epoch: [1/30] Iters:[430/1093] gen_loss 0.1116, rec_loss 0.0109, lpips_loss 0.1380, g_loss -0.0123, disc_weight 0.4000, disc_adaptive_weight 3.0758, d_loss 0.4983, logits_real 0.0084, logits_fake 0.0130,
Train Epoch: [1/30] Iters:[440/1093] gen_loss 0.1170, rec_loss 0.0110, lpips_loss 0.1385, g_loss -0.0112, disc_weight 0.4000, disc_adaptive_weight 2.9587, d_loss 0.4945, logits_real 0.0071, logits_fake 0.0116,
Train Epoch: [1/30] Iters:[450/1093] gen_loss 0.1179, rec_loss 0.0109, lpips_loss 0.1376, g_loss -0.0098, disc_weight 0.4000, disc_adaptive_weight 3.1891, d_loss 0.4912, logits_real 0.0058, logits_fake 0.0102,
Train Epoch: [1/30] Iters:[460/1093] gen_loss 0.1209, rec_loss 0.0108, lpips_loss 0.1373, g_loss -0.0085, disc_weight 0.4000, disc_adaptive_weight 3.2814, d_loss 0.4877, logits_real 0.0047, logits_fake 0.0089,
Train Epoch: [1/30] Iters:[470/1093] gen_loss 0.1242, rec_loss 0.0109, lpips_loss 0.1372, g_loss -0.0076, disc_weight 0.4000, disc_adaptive_weight 3.1768, d_loss 0.4843, logits_real 0.0035, logits_fake 0.0076,
Train Epoch: [1/30] Iters:[480/1093] gen_loss 0.1277, rec_loss 0.0107, lpips_loss 0.1373, g_loss -0.0067, disc_weight 0.4000, disc_adaptive_weight 3.1013, d_loss 0.4818, logits_real 0.0023, logits_fake 0.0065,
Train Epoch: [1/30] Iters:[490/1093] gen_loss 0.1295, rec_loss 0.0108, lpips_loss 0.1370, g_loss -0.0056, disc_weight 0.4000, disc_adaptive_weight 3.2713, d_loss 0.4793, logits_real 0.0014, logits_fake 0.0054,
Train Epoch: [1/30] Iters:[500/1093] gen_loss 0.1349, rec_loss 0.0110, lpips_loss 0.1382, g_loss -0.0047, disc_weight 0.4000, disc_adaptive_weight 3.1136, d_loss 0.4769, logits_real 0.0006, logits_fake 0.0045,
Train Epoch: [1/30] Iters:[510/1093] gen_loss 0.1369, rec_loss 0.0110, lpips_loss 0.1382, g_loss -0.0041, disc_weight 0.4000, disc_adaptive_weight 3.0685, d_loss 0.4748, logits_real -0.0001, logits_fake 0.0040,
Train Epoch: [1/30] Iters:[520/1093] gen_loss 0.1382, rec_loss 0.0110, lpips_loss 0.1375, g_loss -0.0034, disc_weight 0.4000, disc_adaptive_weight 3.1161, d_loss 0.4723, logits_real -0.0007, logits_fake 0.0034,
Train Epoch: [1/30] Iters:[530/1093] gen_loss 0.1400, rec_loss 0.0110, lpips_loss 0.1370, g_loss -0.0026, disc_weight 0.4000, disc_adaptive_weight 3.1507, d_loss 0.4697, logits_real -0.0012, logits_fake 0.0027,
Train Epoch: [1/30] Iters:[540/1093] gen_loss 0.1421, rec_loss 0.0109, lpips_loss 0.1371, g_loss -0.0020, disc_weight 0.4000, disc_adaptive_weight 3.1333, d_loss 0.4678, logits_real -0.0018, logits_fake 0.0023,
Train Epoch: [1/30] Iters:[550/1093] gen_loss 0.1417, rec_loss 0.0105, lpips_loss 0.1355, g_loss -0.0015, disc_weight 0.4000, disc_adaptive_weight 3.1984, d_loss 0.4651, logits_real -0.0025, logits_fake 0.0018,
Train Epoch: [1/30] Iters:[560/1093] gen_loss 0.1443, rec_loss 0.0105, lpips_loss 0.1358, g_loss -0.0007, disc_weight 0.4000, disc_adaptive_weight 3.1170, d_loss 0.4630, logits_real -0.0034, logits_fake 0.0008,
Train Epoch: [1/30] Iters:[570/1093] gen_loss 0.1480, rec_loss 0.0106, lpips_loss 0.1366, g_loss 0.0002, disc_weight 0.4000, disc_adaptive_weight 3.1190, d_loss 0.4612, logits_real -0.0041, logits_fake 0.0001,
Train Epoch: [1/30] Iters:[580/1093] gen_loss 0.1512, rec_loss 0.0106, lpips_loss 0.1363, g_loss 0.0013, disc_weight 0.4000, disc_adaptive_weight 3.2792, d_loss 0.4594, logits_real -0.0050, logits_fake -0.0010,
Train Epoch: [1/30] Iters:[590/1093] gen_loss 0.1545, rec_loss 0.0105, lpips_loss 0.1358, g_loss 0.0022, disc_weight 0.4000, disc_adaptive_weight 3.3028, d_loss 0.4574, logits_real -0.0059, logits_fake -0.0019,
Train Epoch: [1/30] Iters:[600/1093] gen_loss 0.1582, rec_loss 0.0107, lpips_loss 0.1363, g_loss 0.0033, disc_weight 0.4000, disc_adaptive_weight 3.2684, d_loss 0.4561, logits_real -0.0067, logits_fake -0.0029,
Train Epoch: [1/30] Iters:[610/1093] gen_loss 0.1609, rec_loss 0.0107, lpips_loss 0.1360, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 3.4778, d_loss 0.4545, logits_real -0.0075, logits_fake -0.0038,
Train Epoch: [1/30] Iters:[620/1093] gen_loss 0.1637, rec_loss 0.0107, lpips_loss 0.1356, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 3.6417, d_loss 0.4531, logits_real -0.0083, logits_fake -0.0045,
Train Epoch: [1/30] Iters:[630/1093] gen_loss 0.1656, rec_loss 0.0109, lpips_loss 0.1361, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 3.5130, d_loss 0.4519, logits_real -0.0090, logits_fake -0.0049,
Train Epoch: [1/30] Iters:[640/1093] gen_loss 0.1679, rec_loss 0.0109, lpips_loss 0.1364, g_loss 0.0057, disc_weight 0.4000, disc_adaptive_weight 3.4947, d_loss 0.4504, logits_real -0.0097, logits_fake -0.0058,
Train Epoch: [1/30] Iters:[650/1093] gen_loss 0.1726, rec_loss 0.0109, lpips_loss 0.1363, g_loss 0.0063, disc_weight 0.4000, disc_adaptive_weight 3.7974, d_loss 0.4490, logits_real -0.0103, logits_fake -0.0062,
Train Epoch: [1/30] Iters:[660/1093] gen_loss 0.1754, rec_loss 0.0108, lpips_loss 0.1368, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 3.8205, d_loss 0.4475, logits_real -0.0108, logits_fake -0.0068,
Train Epoch: [1/30] Iters:[670/1093] gen_loss 0.1760, rec_loss 0.0107, lpips_loss 0.1370, g_loss 0.0074, disc_weight 0.4000, disc_adaptive_weight 3.6989, d_loss 0.4463, logits_real -0.0114, logits_fake -0.0071,
Train Epoch: [1/30] Iters:[680/1093] gen_loss 0.1770, rec_loss 0.0107, lpips_loss 0.1367, g_loss 0.0078, disc_weight 0.4000, disc_adaptive_weight 3.7249, d_loss 0.4448, logits_real -0.0119, logits_fake -0.0077,
Train Epoch: [1/30] Iters:[690/1093] gen_loss 0.1794, rec_loss 0.0107, lpips_loss 0.1366, g_loss 0.0083, disc_weight 0.4000, disc_adaptive_weight 3.8350, d_loss 0.4435, logits_real -0.0125, logits_fake -0.0079,
Train Epoch: [1/30] Iters:[700/1093] gen_loss 0.1807, rec_loss 0.0107, lpips_loss 0.1370, g_loss 0.0085, disc_weight 0.4000, disc_adaptive_weight 3.8128, d_loss 0.4424, logits_real -0.0129, logits_fake -0.0085,
Train Epoch: [1/30] Iters:[710/1093] gen_loss 0.1812, rec_loss 0.0108, lpips_loss 0.1367, g_loss 0.0089, disc_weight 0.4000, disc_adaptive_weight 3.7194, d_loss 0.4413, logits_real -0.0134, logits_fake -0.0089,
Train Epoch: [1/30] Iters:[720/1093] gen_loss 0.1832, rec_loss 0.0108, lpips_loss 0.1368, g_loss 0.0095, disc_weight 0.4000, disc_adaptive_weight 3.7263, d_loss 0.4400, logits_real -0.0139, logits_fake -0.0096,
Train Epoch: [1/30] Iters:[730/1093] gen_loss 0.1859, rec_loss 0.0108, lpips_loss 0.1367, g_loss 0.0102, disc_weight 0.4000, disc_adaptive_weight 3.7752, d_loss 0.4392, logits_real -0.0147, logits_fake -0.0100,
Train Epoch: [1/30] Iters:[740/1093] gen_loss 0.1880, rec_loss 0.0108, lpips_loss 0.1369, g_loss 0.0108, disc_weight 0.4000, disc_adaptive_weight 3.7035, d_loss 0.4381, logits_real -0.0152, logits_fake -0.0106,
Train Epoch: [1/30] Iters:[750/1093] gen_loss 0.1875, rec_loss 0.0108, lpips_loss 0.1365, g_loss 0.0115, disc_weight 0.4000, disc_adaptive_weight 3.4571, d_loss 0.4371, logits_real -0.0157, logits_fake -0.0111,
Train Epoch: [1/30] Iters:[760/1093] gen_loss 0.1894, rec_loss 0.0108, lpips_loss 0.1361, g_loss 0.0121, disc_weight 0.4000, disc_adaptive_weight 3.4901, d_loss 0.4362, logits_real -0.0161, logits_fake -0.0117,
Train Epoch: [1/30] Iters:[770/1093] gen_loss 0.1925, rec_loss 0.0108, lpips_loss 0.1357, g_loss 0.0125, disc_weight 0.4000, disc_adaptive_weight 3.6435, d_loss 0.4354, logits_real -0.0165, logits_fake -0.0122,
Train Epoch: [1/30] Iters:[780/1093] gen_loss 0.1955, rec_loss 0.0109, lpips_loss 0.1362, g_loss 0.0127, disc_weight 0.4000, disc_adaptive_weight 3.7667, d_loss 0.4344, logits_real -0.0169, logits_fake -0.0127,
