Train Epoch: [1/30] Iters:[280/1093] gen_loss 0.1303, rec_loss 0.0135, lpips_loss 0.1498, g_loss -0.0100, disc_weight 0.4000, disc_adaptive_weight 3.3422, d_loss 0.5690, logits_real -0.0013, logits_fake 0.0105,
Train Epoch: [1/30] Iters:[290/1093] gen_loss 0.1287, rec_loss 0.0134, lpips_loss 0.1498, g_loss -0.0100, disc_weight 0.4000, disc_adaptive_weight 3.4930, d_loss 0.5620, logits_real -0.0005, logits_fake 0.0102,
Train Epoch: [1/30] Iters:[300/1093] gen_loss 0.1256, rec_loss 0.0135, lpips_loss 0.1497, g_loss -0.0107, disc_weight 0.4000, disc_adaptive_weight 3.5470, d_loss 0.5559, logits_real 0.0003, logits_fake 0.0109,
Train Epoch: [1/30] Iters:[310/1093] gen_loss 0.1232, rec_loss 0.0135, lpips_loss 0.1501, g_loss -0.0117, disc_weight 0.4000, disc_adaptive_weight 3.4895, d_loss 0.5501, logits_real 0.0010, logits_fake 0.0117,
Train Epoch: [1/30] Iters:[320/1093] gen_loss 0.1207, rec_loss 0.0134, lpips_loss 0.1501, g_loss -0.0123, disc_weight 0.4000, disc_adaptive_weight 3.4937, d_loss 0.5440, logits_real 0.0015, logits_fake 0.0122,
Train Epoch: [1/30] Iters:[330/1093] gen_loss 0.1161, rec_loss 0.0132, lpips_loss 0.1497, g_loss -0.0130, disc_weight 0.4000, disc_adaptive_weight 3.6191, d_loss 0.5378, logits_real 0.0025, logits_fake 0.0126,
Train Epoch: [1/30] Iters:[340/1093] gen_loss 0.1146, rec_loss 0.0133, lpips_loss 0.1497, g_loss -0.0140, disc_weight 0.4000, disc_adaptive_weight 3.4234, d_loss 0.5329, logits_real 0.0035, logits_fake 0.0138,
Train Epoch: [1/30] Iters:[350/1093] gen_loss 0.1086, rec_loss 0.0132, lpips_loss 0.1495, g_loss -0.0150, disc_weight 0.4000, disc_adaptive_weight 3.5619, d_loss 0.5276, logits_real 0.0044, logits_fake 0.0146,
Train Epoch: [1/30] Iters:[360/1093] gen_loss 0.1057, rec_loss 0.0133, lpips_loss 0.1496, g_loss -0.0156, disc_weight 0.4000, disc_adaptive_weight 3.6180, d_loss 0.5226, logits_real 0.0052, logits_fake 0.0154,
Train Epoch: [1/30] Iters:[370/1093] gen_loss 0.1034, rec_loss 0.0134, lpips_loss 0.1499, g_loss -0.0163, disc_weight 0.4000, disc_adaptive_weight 3.6747, d_loss 0.5183, logits_real 0.0061, logits_fake 0.0158,
Train Epoch: [1/30] Iters:[380/1093] gen_loss 0.1035, rec_loss 0.0134, lpips_loss 0.1502, g_loss -0.0169, disc_weight 0.4000, disc_adaptive_weight 3.5675, d_loss 0.5141, logits_real 0.0068, logits_fake 0.0168,
Train Epoch: [1/30] Iters:[390/1093] gen_loss 0.0982, rec_loss 0.0133, lpips_loss 0.1494, g_loss -0.0178, disc_weight 0.4000, disc_adaptive_weight 3.6479, d_loss 0.5099, logits_real 0.0074, logits_fake 0.0172,
Train Epoch: [1/30] Iters:[400/1093] gen_loss 0.1022, rec_loss 0.0134, lpips_loss 0.1499, g_loss -0.0182, disc_weight 0.4000, disc_adaptive_weight 3.3576, d_loss 0.5064, logits_real 0.0080, logits_fake 0.0181,
Train Epoch: [1/30] Iters:[410/1093] gen_loss 0.0962, rec_loss 0.0132, lpips_loss 0.1498, g_loss -0.0189, disc_weight 0.4000, disc_adaptive_weight 3.4976, d_loss 0.5029, logits_real 0.0089, logits_fake 0.0185,
Train Epoch: [1/30] Iters:[420/1093] gen_loss 0.0954, rec_loss 0.0130, lpips_loss 0.1500, g_loss -0.0197, disc_weight 0.4000, disc_adaptive_weight 3.4080, d_loss 0.4991, logits_real 0.0098, logits_fake 0.0196,
Train Epoch: [1/30] Iters:[430/1093] gen_loss 0.0897, rec_loss 0.0131, lpips_loss 0.1498, g_loss -0.0204, disc_weight 0.4000, disc_adaptive_weight 3.5743, d_loss 0.4957, logits_real 0.0109, logits_fake 0.0202,
Train Epoch: [1/30] Iters:[440/1093] gen_loss 0.0887, rec_loss 0.0132, lpips_loss 0.1505, g_loss -0.0204, disc_weight 0.4000, disc_adaptive_weight 3.6811, d_loss 0.4927, logits_real 0.0118, logits_fake 0.0208,
Train Epoch: [1/30] Iters:[450/1093] gen_loss 0.0859, rec_loss 0.0131, lpips_loss 0.1496, g_loss -0.0210, disc_weight 0.4000, disc_adaptive_weight 3.6840, d_loss 0.4897, logits_real 0.0127, logits_fake 0.0210,
Train Epoch: [1/30] Iters:[460/1093] gen_loss 0.0800, rec_loss 0.0130, lpips_loss 0.1495, g_loss -0.0213, disc_weight 0.4000, disc_adaptive_weight 3.8792, d_loss 0.4867, logits_real 0.0134, logits_fake 0.0215,
Train Epoch: [1/30] Iters:[470/1093] gen_loss 0.0731, rec_loss 0.0131, lpips_loss 0.1495, g_loss -0.0220, disc_weight 0.4000, disc_adaptive_weight 4.0944, d_loss 0.4840, logits_real 0.0140, logits_fake 0.0217,
Train Epoch: [1/30] Iters:[480/1093] gen_loss 0.0673, rec_loss 0.0131, lpips_loss 0.1500, g_loss -0.0228, disc_weight 0.4000, disc_adaptive_weight 4.1987, d_loss 0.4816, logits_real 0.0145, logits_fake 0.0229,
Train Epoch: [1/30] Iters:[490/1093] gen_loss 0.0655, rec_loss 0.0131, lpips_loss 0.1499, g_loss -0.0238, disc_weight 0.4000, disc_adaptive_weight 4.1038, d_loss 0.4790, logits_real 0.0152, logits_fake 0.0237,
Train Epoch: [1/30] Iters:[500/1093] gen_loss 0.0591, rec_loss 0.0134, lpips_loss 0.1511, g_loss -0.0242, disc_weight 0.4000, disc_adaptive_weight 4.3825, d_loss 0.4769, logits_real 0.0157, logits_fake 0.0242,
Train Epoch: [1/30] Iters:[510/1093] gen_loss 0.0649, rec_loss 0.0134, lpips_loss 0.1512, g_loss -0.0248, disc_weight 0.4000, disc_adaptive_weight 4.0296, d_loss 0.4749, logits_real 0.0163, logits_fake 0.0251,
Train Epoch: [1/30] Iters:[520/1093] gen_loss 0.0635, rec_loss 0.0133, lpips_loss 0.1503, g_loss -0.0249, disc_weight 0.4000, disc_adaptive_weight 4.0399, d_loss 0.4725, logits_real 0.0169, logits_fake 0.0255,
Train Epoch: [1/30] Iters:[530/1093] gen_loss 0.0663, rec_loss 0.0133, lpips_loss 0.1498, g_loss -0.0249, disc_weight 0.4000, disc_adaptive_weight 3.9126, d_loss 0.4703, logits_real 0.0172, logits_fake 0.0253,
Train Epoch: [1/30] Iters:[540/1093] gen_loss 0.0626, rec_loss 0.0131, lpips_loss 0.1500, g_loss -0.0250, disc_weight 0.4000, disc_adaptive_weight 4.0667, d_loss 0.4683, logits_real 0.0176, logits_fake 0.0255,
Train Epoch: [1/30] Iters:[550/1093] gen_loss 0.0587, rec_loss 0.0128, lpips_loss 0.1486, g_loss -0.0254, disc_weight 0.4000, disc_adaptive_weight 4.0763, d_loss 0.4656, logits_real 0.0179, logits_fake 0.0258,
