Train Epoch: [1/30] Iters:[320/1093] gen_loss 0.0641, rec_loss 0.0115, lpips_loss 0.1403, g_loss -0.0235, disc_weight 0.4000, disc_adaptive_weight 3.7475, d_loss 0.5443, logits_real 0.0197, logits_fake 0.0231,
Train Epoch: [1/30] Iters:[330/1093] gen_loss 0.0683, rec_loss 0.0113, lpips_loss 0.1399, g_loss -0.0229, disc_weight 0.4000, disc_adaptive_weight 3.6298, d_loss 0.5389, logits_real 0.0186, logits_fake 0.0226,
Train Epoch: [1/30] Iters:[340/1093] gen_loss 0.0707, rec_loss 0.0114, lpips_loss 0.1397, g_loss -0.0221, disc_weight 0.4000, disc_adaptive_weight 3.6618, d_loss 0.5338, logits_real 0.0178, logits_fake 0.0218,
Train Epoch: [1/30] Iters:[350/1093] gen_loss 0.0732, rec_loss 0.0113, lpips_loss 0.1393, g_loss -0.0211, disc_weight 0.4000, disc_adaptive_weight 3.6777, d_loss 0.5286, logits_real 0.0167, logits_fake 0.0211,
Train Epoch: [1/30] Iters:[360/1093] gen_loss 0.0745, rec_loss 0.0113, lpips_loss 0.1392, g_loss -0.0206, disc_weight 0.4000, disc_adaptive_weight 3.7142, d_loss 0.5242, logits_real 0.0158, logits_fake 0.0205,
Train Epoch: [1/30] Iters:[370/1093] gen_loss 0.0798, rec_loss 0.0114, lpips_loss 0.1394, g_loss -0.0198, disc_weight 0.4000, disc_adaptive_weight 3.5875, d_loss 0.5199, logits_real 0.0147, logits_fake 0.0196,
Train Epoch: [1/30] Iters:[380/1093] gen_loss 0.0789, rec_loss 0.0114, lpips_loss 0.1397, g_loss -0.0192, disc_weight 0.4000, disc_adaptive_weight 3.7693, d_loss 0.5162, logits_real 0.0139, logits_fake 0.0191,
Train Epoch: [1/30] Iters:[390/1093] gen_loss 0.0795, rec_loss 0.0113, lpips_loss 0.1391, g_loss -0.0187, disc_weight 0.4000, disc_adaptive_weight 3.8250, d_loss 0.5130, logits_real 0.0128, logits_fake 0.0187,
Train Epoch: [1/30] Iters:[400/1093] gen_loss 0.0835, rec_loss 0.0114, lpips_loss 0.1398, g_loss -0.0177, disc_weight 0.4000, disc_adaptive_weight 3.8404, d_loss 0.5092, logits_real 0.0118, logits_fake 0.0179,
Train Epoch: [1/30] Iters:[410/1093] gen_loss 0.0877, rec_loss 0.0114, lpips_loss 0.1401, g_loss -0.0168, disc_weight 0.4000, disc_adaptive_weight 3.8221, d_loss 0.5054, logits_real 0.0106, logits_fake 0.0169,
Train Epoch: [1/30] Iters:[420/1093] gen_loss 0.0887, rec_loss 0.0113, lpips_loss 0.1405, g_loss -0.0159, disc_weight 0.4000, disc_adaptive_weight 3.9671, d_loss 0.5021, logits_real 0.0096, logits_fake 0.0162,
Train Epoch: [1/30] Iters:[430/1093] gen_loss 0.0948, rec_loss 0.0114, lpips_loss 0.1405, g_loss -0.0145, disc_weight 0.4000, disc_adaptive_weight 3.9865, d_loss 0.4985, logits_real 0.0083, logits_fake 0.0151,
Train Epoch: [1/30] Iters:[440/1093] gen_loss 0.1027, rec_loss 0.0115, lpips_loss 0.1411, g_loss -0.0131, disc_weight 0.4000, disc_adaptive_weight 3.8238, d_loss 0.4946, logits_real 0.0070, logits_fake 0.0135,
Train Epoch: [1/30] Iters:[450/1093] gen_loss 0.1036, rec_loss 0.0114, lpips_loss 0.1403, g_loss -0.0121, disc_weight 0.4000, disc_adaptive_weight 4.0177, d_loss 0.4914, logits_real 0.0057, logits_fake 0.0124,
Train Epoch: [1/30] Iters:[460/1093] gen_loss 0.1087, rec_loss 0.0113, lpips_loss 0.1400, g_loss -0.0106, disc_weight 0.4000, disc_adaptive_weight 4.1260, d_loss 0.4879, logits_real 0.0047, logits_fake 0.0111,
Train Epoch: [1/30] Iters:[470/1093] gen_loss 0.1118, rec_loss 0.0114, lpips_loss 0.1399, g_loss -0.0094, disc_weight 0.4000, disc_adaptive_weight 4.2341, d_loss 0.4845, logits_real 0.0035, logits_fake 0.0097,
Train Epoch: [1/30] Iters:[480/1093] gen_loss 0.1175, rec_loss 0.0113, lpips_loss 0.1401, g_loss -0.0086, disc_weight 0.4000, disc_adaptive_weight 3.9986, d_loss 0.4819, logits_real 0.0023, logits_fake 0.0086,
