Train Epoch: [1/30] Iters:[300/1093] gen_loss 0.1715, rec_loss 0.0132, lpips_loss 0.1544, g_loss 0.0013, disc_weight 0.4000, disc_adaptive_weight 2.6393, d_loss 0.5926, logits_real -0.0189, logits_fake -0.0010,
Train Epoch: [1/30] Iters:[310/1093] gen_loss 0.1676, rec_loss 0.0132, lpips_loss 0.1544, g_loss -0.0001, disc_weight 0.4000, disc_adaptive_weight 2.5473, d_loss 0.5859, logits_real -0.0169, logits_fake 0.0002,
Train Epoch: [1/30] Iters:[320/1093] gen_loss 0.1622, rec_loss 0.0130, lpips_loss 0.1541, g_loss -0.0018, disc_weight 0.4000, disc_adaptive_weight 2.5365, d_loss 0.5789, logits_real -0.0149, logits_fake 0.0014,
Train Epoch: [1/30] Iters:[330/1093] gen_loss 0.1569, rec_loss 0.0130, lpips_loss 0.1537, g_loss -0.0032, disc_weight 0.4000, disc_adaptive_weight 2.7722, d_loss 0.5722, logits_real -0.0130, logits_fake 0.0024,
Train Epoch: [1/30] Iters:[340/1093] gen_loss 0.1525, rec_loss 0.0132, lpips_loss 0.1537, g_loss -0.0052, disc_weight 0.4000, disc_adaptive_weight 2.7722, d_loss 0.5657, logits_real -0.0111, logits_fake 0.0042,
Train Epoch: [1/30] Iters:[350/1093] gen_loss 0.1478, rec_loss 0.0132, lpips_loss 0.1536, g_loss -0.0067, disc_weight 0.4000, disc_adaptive_weight 2.8644, d_loss 0.5596, logits_real -0.0090, logits_fake 0.0059,
Train Epoch: [1/30] Iters:[360/1093] gen_loss 0.1414, rec_loss 0.0134, lpips_loss 0.1539, g_loss -0.0085, disc_weight 0.4000, disc_adaptive_weight 3.0950, d_loss 0.5534, logits_real -0.0068, logits_fake 0.0082,
Train Epoch: [1/30] Iters:[370/1093] gen_loss 0.1374, rec_loss 0.0137, lpips_loss 0.1545, g_loss -0.0103, disc_weight 0.4000, disc_adaptive_weight 3.0605, d_loss 0.5479, logits_real -0.0051, logits_fake 0.0100,
Train Epoch: [1/30] Iters:[380/1093] gen_loss 0.1350, rec_loss 0.0136, lpips_loss 0.1547, g_loss -0.0118, disc_weight 0.4000, disc_adaptive_weight 2.8390, d_loss 0.5432, logits_real -0.0029, logits_fake 0.0117,
Train Epoch: [1/30] Iters:[390/1093] gen_loss 0.1291, rec_loss 0.0133, lpips_loss 0.1537, g_loss -0.0133, disc_weight 0.4000, disc_adaptive_weight 2.8908, d_loss 0.5389, logits_real -0.0008, logits_fake 0.0134,
Train Epoch: [1/30] Iters:[400/1093] gen_loss 0.1248, rec_loss 0.0134, lpips_loss 0.1543, g_loss -0.0152, disc_weight 0.4000, disc_adaptive_weight 2.8235, d_loss 0.5346, logits_real 0.0009, logits_fake 0.0152,
Train Epoch: [1/30] Iters:[410/1093] gen_loss 0.1217, rec_loss 0.0133, lpips_loss 0.1542, g_loss -0.0166, disc_weight 0.4000, disc_adaptive_weight 2.7264, d_loss 0.5304, logits_real 0.0027, logits_fake 0.0164,
Train Epoch: [1/30] Iters:[420/1093] gen_loss 0.1204, rec_loss 0.0131, lpips_loss 0.1542, g_loss -0.0175, disc_weight 0.4000, disc_adaptive_weight 2.6655, d_loss 0.5266, logits_real 0.0046, logits_fake 0.0174,
Train Epoch: [1/30] Iters:[430/1093] gen_loss 0.1166, rec_loss 0.0133, lpips_loss 0.1539, g_loss -0.0187, disc_weight 0.4000, disc_adaptive_weight 2.7110, d_loss 0.5231, logits_real 0.0064, logits_fake 0.0188,
Train Epoch: [1/30] Iters:[440/1093] gen_loss 0.1150, rec_loss 0.0135, lpips_loss 0.1547, g_loss -0.0192, disc_weight 0.4000, disc_adaptive_weight 2.7677, d_loss 0.5191, logits_real 0.0077, logits_fake 0.0194,
Train Epoch: [1/30] Iters:[450/1093] gen_loss 0.1119, rec_loss 0.0133, lpips_loss 0.1534, g_loss -0.0201, disc_weight 0.4000, disc_adaptive_weight 2.7451, d_loss 0.5148, logits_real 0.0092, logits_fake 0.0200,
Train Epoch: [1/30] Iters:[460/1093] gen_loss 0.1134, rec_loss 0.0133, lpips_loss 0.1529, g_loss -0.0209, disc_weight 0.4000, disc_adaptive_weight 2.5618, d_loss 0.5110, logits_real 0.0105, logits_fake 0.0208,
Train Epoch: [1/30] Iters:[470/1093] gen_loss 0.1116, rec_loss 0.0133, lpips_loss 0.1525, g_loss -0.0216, disc_weight 0.4000, disc_adaptive_weight 2.5375, d_loss 0.5077, logits_real 0.0117, logits_fake 0.0216,
Train Epoch: [1/30] Iters:[480/1093] gen_loss 0.1080, rec_loss 0.0132, lpips_loss 0.1527, g_loss -0.0223, disc_weight 0.4000, disc_adaptive_weight 2.6175, d_loss 0.5041, logits_real 0.0127, logits_fake 0.0223,
Train Epoch: [1/30] Iters:[490/1093] gen_loss 0.1037, rec_loss 0.0133, lpips_loss 0.1522, g_loss -0.0234, disc_weight 0.4000, disc_adaptive_weight 2.6361, d_loss 0.5008, logits_real 0.0140, logits_fake 0.0233,
Train Epoch: [1/30] Iters:[500/1093] gen_loss 0.0957, rec_loss 0.0135, lpips_loss 0.1539, g_loss -0.0241, disc_weight 0.4000, disc_adaptive_weight 2.9556, d_loss 0.4980, logits_real 0.0151, logits_fake 0.0238,
Train Epoch: [1/30] Iters:[510/1093] gen_loss 0.0827, rec_loss 0.0136, lpips_loss 0.1541, g_loss -0.0251, disc_weight 0.4000, disc_adaptive_weight 3.3638, d_loss 0.4953, logits_real 0.0160, logits_fake 0.0250,
Train Epoch: [1/30] Iters:[520/1093] gen_loss 0.0691, rec_loss 0.0136, lpips_loss 0.1534, g_loss -0.0262, disc_weight 0.4000, disc_adaptive_weight 3.7144, d_loss 0.4918, logits_real 0.0169, logits_fake 0.0259,
Train Epoch: [1/30] Iters:[530/1093] gen_loss 0.0646, rec_loss 0.0136, lpips_loss 0.1533, g_loss -0.0273, disc_weight 0.4000, disc_adaptive_weight 3.7439, d_loss 0.4884, logits_real 0.0176, logits_fake 0.0269,
Train Epoch: [1/30] Iters:[540/1093] gen_loss 0.0555, rec_loss 0.0136, lpips_loss 0.1539, g_loss -0.0281, disc_weight 0.4000, disc_adaptive_weight 3.9885, d_loss 0.4858, logits_real 0.0184, logits_fake 0.0279,
Train Epoch: [1/30] Iters:[550/1093] gen_loss 0.0510, rec_loss 0.0133, lpips_loss 0.1526, g_loss -0.0293, disc_weight 0.4000, disc_adaptive_weight 3.9237, d_loss 0.4828, logits_real 0.0192, logits_fake 0.0293,
Train Epoch: [1/30] Iters:[560/1093] gen_loss 0.0511, rec_loss 0.0134, lpips_loss 0.1532, g_loss -0.0304, disc_weight 0.4000, disc_adaptive_weight 3.7997, d_loss 0.4799, logits_real 0.0205, logits_fake 0.0304,
Train Epoch: [1/30] Iters:[570/1093] gen_loss 0.0500, rec_loss 0.0135, lpips_loss 0.1541, g_loss -0.0314, disc_weight 0.4000, disc_adaptive_weight 3.7544, d_loss 0.4776, logits_real 0.0218, logits_fake 0.0317,
Train Epoch: [1/30] Iters:[580/1093] gen_loss 0.0426, rec_loss 0.0135, lpips_loss 0.1538, g_loss -0.0325, disc_weight 0.4000, disc_adaptive_weight 3.8629, d_loss 0.4754, logits_real 0.0233, logits_fake 0.0328,
Train Epoch: [1/30] Iters:[590/1093] gen_loss 0.0432, rec_loss 0.0134, lpips_loss 0.1532, g_loss -0.0337, disc_weight 0.4000, disc_adaptive_weight 3.6749, d_loss 0.4729, logits_real 0.0246, logits_fake 0.0339,
Train Epoch: [1/30] Iters:[600/1093] gen_loss 0.0453, rec_loss 0.0135, lpips_loss 0.1536, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 3.5063, d_loss 0.4711, logits_real 0.0260, logits_fake 0.0349,
Train Epoch: [1/30] Iters:[610/1093] gen_loss 0.0281, rec_loss 0.0134, lpips_loss 0.1530, g_loss -0.0356, disc_weight 0.4000, disc_adaptive_weight 3.8711, d_loss 0.4689, logits_real 0.0271, logits_fake 0.0355,
Train Epoch: [1/30] Iters:[620/1093] gen_loss 0.0283, rec_loss 0.0135, lpips_loss 0.1527, g_loss -0.0364, disc_weight 0.4000, disc_adaptive_weight 3.7792, d_loss 0.4667, logits_real 0.0282, logits_fake 0.0362,
Train Epoch: [1/30] Iters:[630/1093] gen_loss 0.0242, rec_loss 0.0136, lpips_loss 0.1532, g_loss -0.0370, disc_weight 0.4000, disc_adaptive_weight 3.8414, d_loss 0.4649, logits_real 0.0289, logits_fake 0.0370,
Train Epoch: [1/30] Iters:[640/1093] gen_loss 0.0241, rec_loss 0.0137, lpips_loss 0.1534, g_loss -0.0379, disc_weight 0.4000, disc_adaptive_weight 3.7745, d_loss 0.4628, logits_real 0.0298, logits_fake 0.0376,
Train Epoch: [1/30] Iters:[650/1093] gen_loss 0.0231, rec_loss 0.0135, lpips_loss 0.1534, g_loss -0.0382, disc_weight 0.4000, disc_adaptive_weight 3.7732, d_loss 0.4608, logits_real 0.0305, logits_fake 0.0383,
Train Epoch: [1/30] Iters:[660/1093] gen_loss 0.0295, rec_loss 0.0134, lpips_loss 0.1539, g_loss -0.0385, disc_weight 0.4000, disc_adaptive_weight 3.5802, d_loss 0.4589, logits_real 0.0311, logits_fake 0.0389,
