Train Epoch: [1/30] Iters:[370/1093] gen_loss -0.0567, rec_loss 0.0137, lpips_loss 0.1370, g_loss -0.0842, disc_weight 0.4000, disc_adaptive_weight 2.4698, d_loss 0.5292, logits_real 0.0786, logits_fake 0.0840,
Train Epoch: [1/30] Iters:[380/1093] gen_loss -0.0581, rec_loss 0.0135, lpips_loss 0.1370, g_loss -0.0851, disc_weight 0.4000, disc_adaptive_weight 2.4558, d_loss 0.5248, logits_real 0.0794, logits_fake 0.0851,
Train Epoch: [1/30] Iters:[390/1093] gen_loss -0.0753, rec_loss 0.0133, lpips_loss 0.1360, g_loss -0.0861, disc_weight 0.4000, disc_adaptive_weight 2.6093, d_loss 0.5204, logits_real 0.0803, logits_fake 0.0860,
Train Epoch: [1/30] Iters:[400/1093] gen_loss -0.1099, rec_loss 0.0135, lpips_loss 0.1368, g_loss -0.0869, disc_weight 0.4000, disc_adaptive_weight 2.9885, d_loss 0.5169, logits_real 0.0815, logits_fake 0.0872,
Train Epoch: [1/30] Iters:[410/1093] gen_loss -0.1224, rec_loss 0.0137, lpips_loss 0.1376, g_loss -0.0884, disc_weight 0.4000, disc_adaptive_weight 3.0937, d_loss 0.5130, logits_real 0.0826, logits_fake 0.0884,
Train Epoch: [1/30] Iters:[420/1093] gen_loss -0.1270, rec_loss 0.0138, lpips_loss 0.1383, g_loss -0.0895, disc_weight 0.4000, disc_adaptive_weight 3.1241, d_loss 0.5091, logits_real 0.0836, logits_fake 0.0895,
Train Epoch: [1/30] Iters:[430/1093] gen_loss -0.1297, rec_loss 0.0139, lpips_loss 0.1383, g_loss -0.0906, disc_weight 0.4000, disc_adaptive_weight 3.1222, d_loss 0.5055, logits_real 0.0848, logits_fake 0.0907,
Train Epoch: [1/30] Iters:[440/1093] gen_loss -0.1369, rec_loss 0.0138, lpips_loss 0.1391, g_loss -0.0915, disc_weight 0.4000, disc_adaptive_weight 3.1787, d_loss 0.5022, logits_real 0.0856, logits_fake 0.0916,
Train Epoch: [1/30] Iters:[450/1093] gen_loss -0.1174, rec_loss 0.0133, lpips_loss 0.1378, g_loss -0.0927, disc_weight 0.4000, disc_adaptive_weight 2.8995, d_loss 0.4981, logits_real 0.0864, logits_fake 0.0925,
Train Epoch: [1/30] Iters:[460/1093] gen_loss -0.1218, rec_loss 0.0128, lpips_loss 0.1368, g_loss -0.0929, disc_weight 0.4000, disc_adaptive_weight 2.9192, d_loss 0.4940, logits_real 0.0870, logits_fake 0.0931,
Train Epoch: [1/30] Iters:[470/1093] gen_loss -0.1368, rec_loss 0.0126, lpips_loss 0.1363, g_loss -0.0938, disc_weight 0.4000, disc_adaptive_weight 3.0462, d_loss 0.4910, logits_real 0.0878, logits_fake 0.0936,
Train Epoch: [1/30] Iters:[480/1093] gen_loss -0.1381, rec_loss 0.0123, lpips_loss 0.1365, g_loss -0.0946, disc_weight 0.4000, disc_adaptive_weight 3.0354, d_loss 0.4883, logits_real 0.0887, logits_fake 0.0945,
Train Epoch: [1/30] Iters:[490/1093] gen_loss -0.1271, rec_loss 0.0123, lpips_loss 0.1361, g_loss -0.0953, disc_weight 0.4000, disc_adaptive_weight 2.8928, d_loss 0.4854, logits_real 0.0894, logits_fake 0.0951,
Train Epoch: [1/30] Iters:[500/1093] gen_loss -0.1389, rec_loss 0.0124, lpips_loss 0.1375, g_loss -0.0956, disc_weight 0.4000, disc_adaptive_weight 3.0209, d_loss 0.4827, logits_real 0.0899, logits_fake 0.0953,
Train Epoch: [1/30] Iters:[510/1093] gen_loss -0.1328, rec_loss 0.0124, lpips_loss 0.1375, g_loss -0.0964, disc_weight 0.4000, disc_adaptive_weight 2.9322, d_loss 0.4802, logits_real 0.0907, logits_fake 0.0963,
Train Epoch: [1/30] Iters:[520/1093] gen_loss -0.1417, rec_loss 0.0122, lpips_loss 0.1366, g_loss -0.0968, disc_weight 0.4000, disc_adaptive_weight 3.0003, d_loss 0.4774, logits_real 0.0916, logits_fake 0.0971,
Train Epoch: [1/30] Iters:[530/1093] gen_loss -0.1670, rec_loss 0.0120, lpips_loss 0.1360, g_loss -0.0972, disc_weight 0.4000, disc_adaptive_weight 3.2366, d_loss 0.4744, logits_real 0.0919, logits_fake 0.0975,
Train Epoch: [1/30] Iters:[540/1093] gen_loss -0.1719, rec_loss 0.0118, lpips_loss 0.1360, g_loss -0.0979, disc_weight 0.4000, disc_adaptive_weight 3.2674, d_loss 0.4722, logits_real 0.0922, logits_fake 0.0982,
Train Epoch: [1/30] Iters:[550/1093] gen_loss -0.1673, rec_loss 0.0114, lpips_loss 0.1347, g_loss -0.0986, disc_weight 0.4000, disc_adaptive_weight 3.1782, d_loss 0.4696, logits_real 0.0927, logits_fake 0.0989,
Train Epoch: [1/30] Iters:[560/1093] gen_loss -0.1655, rec_loss 0.0114, lpips_loss 0.1350, g_loss -0.0991, disc_weight 0.4000, disc_adaptive_weight 3.1516, d_loss 0.4675, logits_real 0.0931, logits_fake 0.0992,
Train Epoch: [1/30] Iters:[570/1093] gen_loss -0.1761, rec_loss 0.0113, lpips_loss 0.1357, g_loss -0.0994, disc_weight 0.4000, disc_adaptive_weight 3.2531, d_loss 0.4655, logits_real 0.0933, logits_fake 0.0996,
Train Epoch: [1/30] Iters:[580/1093] gen_loss -0.1526, rec_loss 0.0112, lpips_loss 0.1351, g_loss -0.0998, disc_weight 0.4000, disc_adaptive_weight 2.9995, d_loss 0.4637, logits_real 0.0939, logits_fake 0.1000,
Train Epoch: [1/30] Iters:[590/1093] gen_loss -0.1731, rec_loss 0.0112, lpips_loss 0.1348, g_loss -0.1002, disc_weight 0.4000, disc_adaptive_weight 3.1876, d_loss 0.4617, logits_real 0.0946, logits_fake 0.1005,
Train Epoch: [1/30] Iters:[600/1093] gen_loss -0.1909, rec_loss 0.0113, lpips_loss 0.1353, g_loss -0.1005, disc_weight 0.4000, disc_adaptive_weight 3.3578, d_loss 0.4604, logits_real 0.0951, logits_fake 0.1011,
Train Epoch: [1/30] Iters:[610/1093] gen_loss -0.2070, rec_loss 0.0114, lpips_loss 0.1352, g_loss -0.1010, disc_weight 0.4000, disc_adaptive_weight 3.5025, d_loss 0.4587, logits_real 0.0955, logits_fake 0.1013,
Train Epoch: [1/30] Iters:[620/1093] gen_loss -0.1851, rec_loss 0.0114, lpips_loss 0.1350, g_loss -0.1015, disc_weight 0.4000, disc_adaptive_weight 3.2663, d_loss 0.4572, logits_real 0.0959, logits_fake 0.1015,
Train Epoch: [1/30] Iters:[630/1093] gen_loss -0.1947, rec_loss 0.0114, lpips_loss 0.1354, g_loss -0.1016, disc_weight 0.4000, disc_adaptive_weight 3.3600, d_loss 0.4554, logits_real 0.0961, logits_fake 0.1016,
Train Epoch: [1/30] Iters:[640/1093] gen_loss -0.1719, rec_loss 0.0114, lpips_loss 0.1355, g_loss -0.1017, disc_weight 0.4000, disc_adaptive_weight 3.1331, d_loss 0.4536, logits_real 0.0961, logits_fake 0.1014,
Train Epoch: [1/30] Iters:[650/1093] gen_loss -0.1717, rec_loss 0.0111, lpips_loss 0.1351, g_loss -0.1015, disc_weight 0.4000, disc_adaptive_weight 3.1326, d_loss 0.4518, logits_real 0.0962, logits_fake 0.1012,
