Train Epoch: [1/30] Iters:[350/1093] gen_loss -1.2553, rec_loss 0.0119, lpips_loss 0.1442, g_loss -0.2665, disc_weight 0.4000, disc_adaptive_weight 5.2981, d_loss 0.5319, logits_real 0.2601, logits_fake 0.2665,
Train Epoch: [1/30] Iters:[360/1093] gen_loss -1.1322, rec_loss 0.0118, lpips_loss 0.1433, g_loss -0.2661, disc_weight 0.4000, disc_adaptive_weight 4.8422, d_loss 0.5276, logits_real 0.2593, logits_fake 0.2659,
Train Epoch: [1/30] Iters:[370/1093] gen_loss -1.0018, rec_loss 0.0118, lpips_loss 0.1426, g_loss -0.2652, disc_weight 0.4000, disc_adaptive_weight 4.3643, d_loss 0.5231, logits_real 0.2584, logits_fake 0.2648,
Train Epoch: [1/30] Iters:[380/1093] gen_loss -1.0376, rec_loss 0.0117, lpips_loss 0.1423, g_loss -0.2644, disc_weight 0.4000, disc_adaptive_weight 4.5119, d_loss 0.5186, logits_real 0.2578, logits_fake 0.2638,
Train Epoch: [1/30] Iters:[390/1093] gen_loss -1.0269, rec_loss 0.0116, lpips_loss 0.1413, g_loss -0.2636, disc_weight 0.4000, disc_adaptive_weight 4.4795, d_loss 0.5141, logits_real 0.2572, logits_fake 0.2629,
Train Epoch: [1/30] Iters:[400/1093] gen_loss -0.8538, rec_loss 0.0116, lpips_loss 0.1412, g_loss -0.2630, disc_weight 0.4000, disc_adaptive_weight 3.8307, d_loss 0.5104, logits_real 0.2564, logits_fake 0.2623,
Train Epoch: [1/30] Iters:[410/1093] gen_loss -0.8853, rec_loss 0.0115, lpips_loss 0.1410, g_loss -0.2616, disc_weight 0.4000, disc_adaptive_weight 3.9721, d_loss 0.5067, logits_real 0.2557, logits_fake 0.2611,
Train Epoch: [1/30] Iters:[420/1093] gen_loss -0.9740, rec_loss 0.0114, lpips_loss 0.1413, g_loss -0.2607, disc_weight 0.4000, disc_adaptive_weight 4.3253, d_loss 0.5032, logits_real 0.2549, logits_fake 0.2604,
Train Epoch: [1/30] Iters:[430/1093] gen_loss -0.9235, rec_loss 0.0115, lpips_loss 0.1411, g_loss -0.2597, disc_weight 0.4000, disc_adaptive_weight 4.1460, d_loss 0.5001, logits_real 0.2540, logits_fake 0.2597,
Train Epoch: [1/30] Iters:[440/1093] gen_loss -0.8808, rec_loss 0.0116, lpips_loss 0.1416, g_loss -0.2585, disc_weight 0.4000, disc_adaptive_weight 4.0004, d_loss 0.4973, logits_real 0.2531, logits_fake 0.2586,
Train Epoch: [1/30] Iters:[450/1093] gen_loss -0.8817, rec_loss 0.0114, lpips_loss 0.1406, g_loss -0.2568, disc_weight 0.4000, disc_adaptive_weight 4.0238, d_loss 0.4934, logits_real 0.2522, logits_fake 0.2570,
Train Epoch: [1/30] Iters:[460/1093] gen_loss -0.8168, rec_loss 0.0113, lpips_loss 0.1399, g_loss -0.2554, disc_weight 0.4000, disc_adaptive_weight 3.7880, d_loss 0.4898, logits_real 0.2512, logits_fake 0.2555,
Train Epoch: [1/30] Iters:[470/1093] gen_loss -0.7450, rec_loss 0.0113, lpips_loss 0.1396, g_loss -0.2539, disc_weight 0.4000, disc_adaptive_weight 3.5297, d_loss 0.4867, logits_real 0.2502, logits_fake 0.2540,
Train Epoch: [1/30] Iters:[480/1093] gen_loss -0.7239, rec_loss 0.0111, lpips_loss 0.1398, g_loss -0.2527, disc_weight 0.4000, disc_adaptive_weight 3.4627, d_loss 0.4837, logits_real 0.2492, logits_fake 0.2528,
Train Epoch: [1/30] Iters:[490/1093] gen_loss -0.7292, rec_loss 0.0111, lpips_loss 0.1393, g_loss -0.2518, disc_weight 0.4000, disc_adaptive_weight 3.4938, d_loss 0.4808, logits_real 0.2482, logits_fake 0.2518,
