Train Epoch: [1/30] Iters:[570/1093] gen_loss 0.9835, rec_loss 0.0281, lpips_loss 0.2469, g_loss 0.1534, disc_weight 0.4000, disc_adaptive_weight 4.6124, d_loss 0.4803, logits_real -0.1588, logits_fake -0.1533,
Train Epoch: [1/30] Iters:[580/1093] gen_loss 0.9640, rec_loss 0.0282, lpips_loss 0.2464, g_loss 0.1523, disc_weight 0.4000, disc_adaptive_weight 4.5154, d_loss 0.4781, logits_real -0.1579, logits_fake -0.1523,
Train Epoch: [1/30] Iters:[590/1093] gen_loss 0.9143, rec_loss 0.0281, lpips_loss 0.2454, g_loss 0.1511, disc_weight 0.4000, disc_adaptive_weight 4.2360, d_loss 0.4755, logits_real -0.1568, logits_fake -0.1512,
Train Epoch: [1/30] Iters:[600/1093] gen_loss 0.9222, rec_loss 0.0280, lpips_loss 0.2460, g_loss 0.1504, disc_weight 0.4000, disc_adaptive_weight 4.3044, d_loss 0.4733, logits_real -0.1558, logits_fake -0.1502,
Train Epoch: [1/30] Iters:[610/1093] gen_loss 0.9419, rec_loss 0.0273, lpips_loss 0.2451, g_loss 0.1495, disc_weight 0.4000, disc_adaptive_weight 4.4721, d_loss 0.4701, logits_real -0.1549, logits_fake -0.1493,
Train Epoch: [1/30] Iters:[620/1093] gen_loss 0.9238, rec_loss 0.0269, lpips_loss 0.2440, g_loss 0.1487, disc_weight 0.4000, disc_adaptive_weight 4.3905, d_loss 0.4671, logits_real -0.1539, logits_fake -0.1486,
Train Epoch: [1/30] Iters:[630/1093] gen_loss 0.9537, rec_loss 0.0265, lpips_loss 0.2441, g_loss 0.1480, disc_weight 0.4000, disc_adaptive_weight 4.6141, d_loss 0.4642, logits_real -0.1531, logits_fake -0.1479,
Train Epoch: [1/30] Iters:[640/1093] gen_loss 0.9900, rec_loss 0.0266, lpips_loss 0.2444, g_loss 0.1474, disc_weight 0.4000, disc_adaptive_weight 4.8788, d_loss 0.4619, logits_real -0.1526, logits_fake -0.1473,
Train Epoch: [1/30] Iters:[650/1093] gen_loss 1.0091, rec_loss 0.0264, lpips_loss 0.2442, g_loss 0.1469, disc_weight 0.4000, disc_adaptive_weight 5.0275, d_loss 0.4598, logits_real -0.1523, logits_fake -0.1466,
Train Epoch: [1/30] Iters:[660/1093] gen_loss 1.0101, rec_loss 0.0263, lpips_loss 0.2448, g_loss 0.1464, disc_weight 0.4000, disc_adaptive_weight 5.0504, d_loss 0.4578, logits_real -0.1517, logits_fake -0.1460,
Train Epoch: [1/30] Iters:[670/1093] gen_loss 1.0358, rec_loss 0.0263, lpips_loss 0.2453, g_loss 0.1457, disc_weight 0.4000, disc_adaptive_weight 5.2485, d_loss 0.4561, logits_real -0.1511, logits_fake -0.1451,
Train Epoch: [1/30] Iters:[680/1093] gen_loss 1.0300, rec_loss 0.0263, lpips_loss 0.2449, g_loss 0.1448, disc_weight 0.4000, disc_adaptive_weight 5.2414, d_loss 0.4543, logits_real -0.1504, logits_fake -0.1445,
Train Epoch: [1/30] Iters:[690/1093] gen_loss 1.0427, rec_loss 0.0262, lpips_loss 0.2451, g_loss 0.1440, disc_weight 0.4000, disc_adaptive_weight 5.3595, d_loss 0.4527, logits_real -0.1498, logits_fake -0.1439,
Train Epoch: [1/30] Iters:[700/1093] gen_loss 1.0501, rec_loss 0.0267, lpips_loss 0.2465, g_loss 0.1429, disc_weight 0.4000, disc_adaptive_weight 5.4351, d_loss 0.4517, logits_real -0.1494, logits_fake -0.1433,
Train Epoch: [1/30] Iters:[710/1093] gen_loss 1.0437, rec_loss 0.0270, lpips_loss 0.2467, g_loss 0.1422, disc_weight 0.4000, disc_adaptive_weight 5.4136, d_loss 0.4504, logits_real -0.1490, logits_fake -0.1428,
Train Epoch: [1/30] Iters:[720/1093] gen_loss 1.0342, rec_loss 0.0271, lpips_loss 0.2469, g_loss 0.1417, disc_weight 0.4000, disc_adaptive_weight 5.3623, d_loss 0.4490, logits_real -0.1487, logits_fake -0.1426,
Train Epoch: [1/30] Iters:[730/1093] gen_loss 1.0503, rec_loss 0.0272, lpips_loss 0.2474, g_loss 0.1414, disc_weight 0.4000, disc_adaptive_weight 5.4825, d_loss 0.4481, logits_real -0.1483, logits_fake -0.1419,
