Train Epoch: [1/30] Iters:[370/1093] gen_loss 0.7471, rec_loss 0.0124, lpips_loss 0.1513, g_loss 0.1132, disc_weight 0.4000, disc_adaptive_weight 5.1519, d_loss 0.5562, logits_real -0.1125, logits_fake -0.1133,
Train Epoch: [1/30] Iters:[380/1093] gen_loss 0.7286, rec_loss 0.0125, lpips_loss 0.1521, g_loss 0.1135, disc_weight 0.4000, disc_adaptive_weight 4.9694, d_loss 0.5500, logits_real -0.1126, logits_fake -0.1134,
Train Epoch: [1/30] Iters:[390/1093] gen_loss 0.7060, rec_loss 0.0123, lpips_loss 0.1508, g_loss 0.1136, disc_weight 0.4000, disc_adaptive_weight 4.7762, d_loss 0.5447, logits_real -0.1126, logits_fake -0.1135,
Train Epoch: [1/30] Iters:[400/1093] gen_loss 0.7176, rec_loss 0.0123, lpips_loss 0.1506, g_loss 0.1132, disc_weight 0.4000, disc_adaptive_weight 4.9002, d_loss 0.5395, logits_real -0.1127, logits_fake -0.1130,
Train Epoch: [1/30] Iters:[410/1093] gen_loss 0.6887, rec_loss 0.0122, lpips_loss 0.1496, g_loss 0.1122, disc_weight 0.4000, disc_adaptive_weight 4.6910, d_loss 0.5349, logits_real -0.1128, logits_fake -0.1120,
Train Epoch: [1/30] Iters:[420/1093] gen_loss 0.6642, rec_loss 0.0119, lpips_loss 0.1487, g_loss 0.1115, disc_weight 0.4000, disc_adaptive_weight 4.5175, d_loss 0.5300, logits_real -0.1130, logits_fake -0.1111,
Train Epoch: [1/30] Iters:[430/1093] gen_loss 0.6441, rec_loss 0.0119, lpips_loss 0.1474, g_loss 0.1107, disc_weight 0.4000, disc_adaptive_weight 4.3783, d_loss 0.5261, logits_real -0.1130, logits_fake -0.1105,
Train Epoch: [1/30] Iters:[440/1093] gen_loss 0.6109, rec_loss 0.0119, lpips_loss 0.1473, g_loss 0.1104, disc_weight 0.4000, disc_adaptive_weight 4.0939, d_loss 0.5215, logits_real -0.1131, logits_fake -0.1102,
Train Epoch: [1/30] Iters:[450/1093] gen_loss 0.5962, rec_loss 0.0117, lpips_loss 0.1459, g_loss 0.1105, disc_weight 0.4000, disc_adaptive_weight 3.9688, d_loss 0.5168, logits_real -0.1130, logits_fake -0.1102,
Train Epoch: [1/30] Iters:[460/1093] gen_loss 0.5796, rec_loss 0.0116, lpips_loss 0.1451, g_loss 0.1105, disc_weight 0.4000, disc_adaptive_weight 3.8276, d_loss 0.5125, logits_real -0.1131, logits_fake -0.1101,
