Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.1428, rec_loss 0.0265, lpips_loss 0.1875, g_loss -0.0200, disc_weight 0.4000, disc_adaptive_weight 3.5727, d_loss 0.4897, logits_real 0.0179, logits_fake 0.0200,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.1400, rec_loss 0.0266, lpips_loss 0.1883, g_loss -0.0204, disc_weight 0.4000, disc_adaptive_weight 3.6980, d_loss 0.4874, logits_real 0.0181, logits_fake 0.0203,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.1361, rec_loss 0.0264, lpips_loss 0.1878, g_loss -0.0207, disc_weight 0.4000, disc_adaptive_weight 3.8007, d_loss 0.4854, logits_real 0.0185, logits_fake 0.0209,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.1343, rec_loss 0.0264, lpips_loss 0.1885, g_loss -0.0213, disc_weight 0.4000, disc_adaptive_weight 3.8306, d_loss 0.4828, logits_real 0.0187, logits_fake 0.0213,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.1334, rec_loss 0.0262, lpips_loss 0.1883, g_loss -0.0217, disc_weight 0.4000, disc_adaptive_weight 3.8038, d_loss 0.4811, logits_real 0.0193, logits_fake 0.0219,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.1388, rec_loss 0.0262, lpips_loss 0.1874, g_loss -0.0222, disc_weight 0.4000, disc_adaptive_weight 3.4079, d_loss 0.4791, logits_real 0.0197, logits_fake 0.0224,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.1375, rec_loss 0.0262, lpips_loss 0.1868, g_loss -0.0223, disc_weight 0.4000, disc_adaptive_weight 3.4149, d_loss 0.4775, logits_real 0.0201, logits_fake 0.0227,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.1348, rec_loss 0.0260, lpips_loss 0.1860, g_loss -0.0227, disc_weight 0.4000, disc_adaptive_weight 3.4286, d_loss 0.4748, logits_real 0.0204, logits_fake 0.0229,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.1344, rec_loss 0.0257, lpips_loss 0.1850, g_loss -0.0228, disc_weight 0.4000, disc_adaptive_weight 3.3626, d_loss 0.4726, logits_real 0.0211, logits_fake 0.0231,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.1345, rec_loss 0.0256, lpips_loss 0.1848, g_loss -0.0231, disc_weight 0.4000, disc_adaptive_weight 3.3116, d_loss 0.4707, logits_real 0.0215, logits_fake 0.0234,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.1298, rec_loss 0.0255, lpips_loss 0.1848, g_loss -0.0233, disc_weight 0.4000, disc_adaptive_weight 3.4693, d_loss 0.4693, logits_real 0.0217, logits_fake 0.0237,
