Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.2115, rec_loss 0.0284, lpips_loss 0.2044, g_loss -0.0063, disc_weight 0.4000, disc_adaptive_weight 3.4484, d_loss 0.5758, logits_real 0.0005, logits_fake 0.0059,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.2086, rec_loss 0.0283, lpips_loss 0.2047, g_loss -0.0073, disc_weight 0.4000, disc_adaptive_weight 3.4023, d_loss 0.5704, logits_real 0.0016, logits_fake 0.0072,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.2090, rec_loss 0.0289, lpips_loss 0.2065, g_loss -0.0078, disc_weight 0.4000, disc_adaptive_weight 3.3674, d_loss 0.5659, logits_real 0.0024, logits_fake 0.0080,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.2102, rec_loss 0.0295, lpips_loss 0.2078, g_loss -0.0086, disc_weight 0.4000, disc_adaptive_weight 3.1416, d_loss 0.5615, logits_real 0.0035, logits_fake 0.0088,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.2074, rec_loss 0.0293, lpips_loss 0.2072, g_loss -0.0090, disc_weight 0.4000, disc_adaptive_weight 3.2189, d_loss 0.5573, logits_real 0.0047, logits_fake 0.0093,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.2049, rec_loss 0.0289, lpips_loss 0.2079, g_loss -0.0096, disc_weight 0.4000, disc_adaptive_weight 3.3151, d_loss 0.5518, logits_real 0.0053, logits_fake 0.0099,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.2033, rec_loss 0.0292, lpips_loss 0.2071, g_loss -0.0101, disc_weight 0.4000, disc_adaptive_weight 3.2492, d_loss 0.5478, logits_real 0.0061, logits_fake 0.0102,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.2013, rec_loss 0.0285, lpips_loss 0.2056, g_loss -0.0106, disc_weight 0.4000, disc_adaptive_weight 3.1250, d_loss 0.5433, logits_real 0.0070, logits_fake 0.0105,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.1992, rec_loss 0.0286, lpips_loss 0.2047, g_loss -0.0110, disc_weight 0.4000, disc_adaptive_weight 3.1207, d_loss 0.5392, logits_real 0.0077, logits_fake 0.0109,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.1994, rec_loss 0.0290, lpips_loss 0.2061, g_loss -0.0118, disc_weight 0.4000, disc_adaptive_weight 3.0593, d_loss 0.5357, logits_real 0.0083, logits_fake 0.0118,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.1955, rec_loss 0.0289, lpips_loss 0.2039, g_loss -0.0123, disc_weight 0.4000, disc_adaptive_weight 3.0296, d_loss 0.5323, logits_real 0.0091, logits_fake 0.0123,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.1908, rec_loss 0.0286, lpips_loss 0.2031, g_loss -0.0129, disc_weight 0.4000, disc_adaptive_weight 3.1397, d_loss 0.5291, logits_real 0.0100, logits_fake 0.0129,
