Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.2102, rec_loss 0.0248, lpips_loss 0.1826, g_loss 0.0008, disc_weight 0.4000, disc_adaptive_weight 2.8471, d_loss 0.5257, logits_real -0.0041, logits_fake -0.0007,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.2154, rec_loss 0.0242, lpips_loss 0.1824, g_loss 0.0027, disc_weight 0.4000, disc_adaptive_weight 3.0401, d_loss 0.5220, logits_real -0.0055, logits_fake -0.0024,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.2215, rec_loss 0.0243, lpips_loss 0.1828, g_loss 0.0045, disc_weight 0.4000, disc_adaptive_weight 3.0919, d_loss 0.5185, logits_real -0.0072, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.2271, rec_loss 0.0244, lpips_loss 0.1843, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 3.0535, d_loss 0.5157, logits_real -0.0087, logits_fake -0.0058,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.2293, rec_loss 0.0245, lpips_loss 0.1841, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 2.9206, d_loss 0.5125, logits_real -0.0098, logits_fake -0.0070,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.2358, rec_loss 0.0247, lpips_loss 0.1857, g_loss 0.0086, disc_weight 0.4000, disc_adaptive_weight 2.9720, d_loss 0.5095, logits_real -0.0112, logits_fake -0.0086,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.2394, rec_loss 0.0247, lpips_loss 0.1860, g_loss 0.0096, disc_weight 0.4000, disc_adaptive_weight 2.9526, d_loss 0.5073, logits_real -0.0123, logits_fake -0.0098,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.2389, rec_loss 0.0243, lpips_loss 0.1852, g_loss 0.0107, disc_weight 0.4000, disc_adaptive_weight 2.7849, d_loss 0.5045, logits_real -0.0133, logits_fake -0.0109,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.2417, rec_loss 0.0243, lpips_loss 0.1843, g_loss 0.0118, disc_weight 0.4000, disc_adaptive_weight 2.7936, d_loss 0.5017, logits_real -0.0142, logits_fake -0.0120,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.2468, rec_loss 0.0244, lpips_loss 0.1847, g_loss 0.0131, disc_weight 0.4000, disc_adaptive_weight 2.8936, d_loss 0.4994, logits_real -0.0154, logits_fake -0.0133,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.2493, rec_loss 0.0244, lpips_loss 0.1835, g_loss 0.0144, disc_weight 0.4000, disc_adaptive_weight 2.8780, d_loss 0.4963, logits_real -0.0164, logits_fake -0.0143,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.2506, rec_loss 0.0246, lpips_loss 0.1836, g_loss 0.0153, disc_weight 0.4000, disc_adaptive_weight 2.7712, d_loss 0.4936, logits_real -0.0174, logits_fake -0.0150,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.2551, rec_loss 0.0250, lpips_loss 0.1837, g_loss 0.0164, disc_weight 0.4000, disc_adaptive_weight 2.8556, d_loss 0.4919, logits_real -0.0183, logits_fake -0.0160,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.2568, rec_loss 0.0252, lpips_loss 0.1848, g_loss 0.0175, disc_weight 0.4000, disc_adaptive_weight 2.7045, d_loss 0.4891, logits_real -0.0194, logits_fake -0.0171,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.2608, rec_loss 0.0252, lpips_loss 0.1858, g_loss 0.0186, disc_weight 0.4000, disc_adaptive_weight 2.7033, d_loss 0.4867, logits_real -0.0206, logits_fake -0.0182,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.2635, rec_loss 0.0251, lpips_loss 0.1861, g_loss 0.0196, disc_weight 0.4000, disc_adaptive_weight 2.6666, d_loss 0.4845, logits_real -0.0217, logits_fake -0.0195,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.2652, rec_loss 0.0249, lpips_loss 0.1854, g_loss 0.0209, disc_weight 0.4000, disc_adaptive_weight 2.6332, d_loss 0.4823, logits_real -0.0229, logits_fake -0.0207,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.2700, rec_loss 0.0250, lpips_loss 0.1862, g_loss 0.0220, disc_weight 0.4000, disc_adaptive_weight 2.6777, d_loss 0.4800, logits_real -0.0239, logits_fake -0.0219,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.2744, rec_loss 0.0246, lpips_loss 0.1856, g_loss 0.0230, disc_weight 0.4000, disc_adaptive_weight 2.7953, d_loss 0.4788, logits_real -0.0248, logits_fake -0.0228,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.2748, rec_loss 0.0247, lpips_loss 0.1847, g_loss 0.0239, disc_weight 0.4000, disc_adaptive_weight 2.7411, d_loss 0.4771, logits_real -0.0256, logits_fake -0.0240,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.2775, rec_loss 0.0248, lpips_loss 0.1841, g_loss 0.0247, disc_weight 0.4000, disc_adaptive_weight 2.7679, d_loss 0.4756, logits_real -0.0263, logits_fake -0.0247,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.2792, rec_loss 0.0247, lpips_loss 0.1835, g_loss 0.0255, disc_weight 0.4000, disc_adaptive_weight 2.7793, d_loss 0.4743, logits_real -0.0271, logits_fake -0.0256,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.2847, rec_loss 0.0244, lpips_loss 0.1829, g_loss 0.0261, disc_weight 0.4000, disc_adaptive_weight 2.9579, d_loss 0.4726, logits_real -0.0277, logits_fake -0.0263,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.2857, rec_loss 0.0245, lpips_loss 0.1828, g_loss 0.0268, disc_weight 0.4000, disc_adaptive_weight 2.9216, d_loss 0.4706, logits_real -0.0285, logits_fake -0.0269,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.2843, rec_loss 0.0243, lpips_loss 0.1829, g_loss 0.0276, disc_weight 0.4000, disc_adaptive_weight 2.8092, d_loss 0.4686, logits_real -0.0291, logits_fake -0.0275,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.2900, rec_loss 0.0241, lpips_loss 0.1838, g_loss 0.0281, disc_weight 0.4000, disc_adaptive_weight 2.9325, d_loss 0.4679, logits_real -0.0296, logits_fake -0.0279,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.2964, rec_loss 0.0241, lpips_loss 0.1840, g_loss 0.0288, disc_weight 0.4000, disc_adaptive_weight 3.0779, d_loss 0.4656, logits_real -0.0302, logits_fake -0.0286,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.2951, rec_loss 0.0242, lpips_loss 0.1842, g_loss 0.0294, disc_weight 0.4000, disc_adaptive_weight 2.9472, d_loss 0.4641, logits_real -0.0309, logits_fake -0.0291,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.2954, rec_loss 0.0243, lpips_loss 0.1839, g_loss 0.0298, disc_weight 0.4000, disc_adaptive_weight 2.9283, d_loss 0.4627, logits_real -0.0312, logits_fake -0.0296,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.3029, rec_loss 0.0243, lpips_loss 0.1836, g_loss 0.0303, disc_weight 0.4000, disc_adaptive_weight 3.1529, d_loss 0.4609, logits_real -0.0318, logits_fake -0.0302,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.3000, rec_loss 0.0242, lpips_loss 0.1826, g_loss 0.0308, disc_weight 0.4000, disc_adaptive_weight 3.0305, d_loss 0.4583, logits_real -0.0324, logits_fake -0.0308,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.3056, rec_loss 0.0246, lpips_loss 0.1839, g_loss 0.0313, disc_weight 0.4000, disc_adaptive_weight 3.1014, d_loss 0.4572, logits_real -0.0329, logits_fake -0.0314,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.3078, rec_loss 0.0250, lpips_loss 0.1845, g_loss 0.0318, disc_weight 0.4000, disc_adaptive_weight 3.0936, d_loss 0.4553, logits_real -0.0334, logits_fake -0.0319,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.3109, rec_loss 0.0248, lpips_loss 0.1838, g_loss 0.0324, disc_weight 0.4000, disc_adaptive_weight 3.1574, d_loss 0.4540, logits_real -0.0339, logits_fake -0.0325,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.3156, rec_loss 0.0247, lpips_loss 0.1846, g_loss 0.0327, disc_weight 0.4000, disc_adaptive_weight 3.2527, d_loss 0.4529, logits_real -0.0342, logits_fake -0.0328,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.3145, rec_loss 0.0247, lpips_loss 0.1844, g_loss 0.0329, disc_weight 0.4000, disc_adaptive_weight 3.2047, d_loss 0.4516, logits_real -0.0345, logits_fake -0.0330,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.3136, rec_loss 0.0244, lpips_loss 0.1837, g_loss 0.0333, disc_weight 0.4000, disc_adaptive_weight 3.1605, d_loss 0.4501, logits_real -0.0349, logits_fake -0.0333,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.3110, rec_loss 0.0243, lpips_loss 0.1835, g_loss 0.0335, disc_weight 0.4000, disc_adaptive_weight 3.0790, d_loss 0.4491, logits_real -0.0349, logits_fake -0.0334,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.3111, rec_loss 0.0245, lpips_loss 0.1845, g_loss 0.0337, disc_weight 0.4000, disc_adaptive_weight 3.0381, d_loss 0.4476, logits_real -0.0351, logits_fake -0.0336,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.3094, rec_loss 0.0247, lpips_loss 0.1844, g_loss 0.0343, disc_weight 0.4000, disc_adaptive_weight 2.9234, d_loss 0.4471, logits_real -0.0355, logits_fake -0.0342,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.3127, rec_loss 0.0247, lpips_loss 0.1845, g_loss 0.0351, disc_weight 0.4000, disc_adaptive_weight 2.9536, d_loss 0.4465, logits_real -0.0360, logits_fake -0.0348,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.3085, rec_loss 0.0246, lpips_loss 0.1839, g_loss 0.0355, disc_weight 0.4000, disc_adaptive_weight 2.8189, d_loss 0.4459, logits_real -0.0366, logits_fake -0.0354,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.3091, rec_loss 0.0244, lpips_loss 0.1835, g_loss 0.0361, disc_weight 0.4000, disc_adaptive_weight 2.8108, d_loss 0.4451, logits_real -0.0371, logits_fake -0.0362,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.3134, rec_loss 0.0242, lpips_loss 0.1827, g_loss 0.0365, disc_weight 0.4000, disc_adaptive_weight 2.9237, d_loss 0.4445, logits_real -0.0377, logits_fake -0.0366,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.3146, rec_loss 0.0245, lpips_loss 0.1829, g_loss 0.0368, disc_weight 0.4000, disc_adaptive_weight 2.9153, d_loss 0.4434, logits_real -0.0381, logits_fake -0.0369,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.3152, rec_loss 0.0246, lpips_loss 0.1836, g_loss 0.0369, disc_weight 0.4000, disc_adaptive_weight 2.9028, d_loss 0.4421, logits_real -0.0382, logits_fake -0.0371,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.3248, rec_loss 0.0248, lpips_loss 0.1844, g_loss 0.0371, disc_weight 0.4000, disc_adaptive_weight 3.1175, d_loss 0.4410, logits_real -0.0382, logits_fake -0.0373,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.3300, rec_loss 0.0245, lpips_loss 0.1835, g_loss 0.0373, disc_weight 0.4000, disc_adaptive_weight 3.2707, d_loss 0.4400, logits_real -0.0387, logits_fake -0.0375,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.3301, rec_loss 0.0250, lpips_loss 0.1852, g_loss 0.0376, disc_weight 0.4000, disc_adaptive_weight 3.1903, d_loss 0.4391, logits_real -0.0388, logits_fake -0.0376,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.3377, rec_loss 0.0249, lpips_loss 0.1851, g_loss 0.0378, disc_weight 0.4000, disc_adaptive_weight 3.3795, d_loss 0.4379, logits_real -0.0391, logits_fake -0.0380,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.3404, rec_loss 0.0248, lpips_loss 0.1838, g_loss 0.0380, disc_weight 0.4000, disc_adaptive_weight 3.4689, d_loss 0.4372, logits_real -0.0396, logits_fake -0.0382,
Train Epoch: [1/5] Iters:[930/20018] gen_loss 0.3297, rec_loss 0.0249, lpips_loss 0.1837, g_loss 0.0381, disc_weight 0.4000, disc_adaptive_weight 3.1813, d_loss 0.4363, logits_real -0.0397, logits_fake -0.0382,
Train Epoch: [1/5] Iters:[940/20018] gen_loss 0.3261, rec_loss 0.0249, lpips_loss 0.1840, g_loss 0.0383, disc_weight 0.4000, disc_adaptive_weight 3.0649, d_loss 0.4354, logits_real -0.0398, logits_fake -0.0383,
Train Epoch: [1/5] Iters:[950/20018] gen_loss 0.3281, rec_loss 0.0246, lpips_loss 0.1831, g_loss 0.0385, disc_weight 0.4000, disc_adaptive_weight 3.1323, d_loss 0.4348, logits_real -0.0400, logits_fake -0.0385,
Train Epoch: [1/5] Iters:[960/20018] gen_loss 0.3225, rec_loss 0.0246, lpips_loss 0.1835, g_loss 0.0385, disc_weight 0.4000, disc_adaptive_weight 2.9794, d_loss 0.4344, logits_real -0.0400, logits_fake -0.0385,
Train Epoch: [1/5] Iters:[970/20018] gen_loss 0.3297, rec_loss 0.0248, lpips_loss 0.1844, g_loss 0.0385, disc_weight 0.4000, disc_adaptive_weight 3.1307, d_loss 0.4337, logits_real -0.0398, logits_fake -0.0387,
Train Epoch: [1/5] Iters:[980/20018] gen_loss 0.3383, rec_loss 0.0248, lpips_loss 0.1844, g_loss 0.0386, disc_weight 0.4000, disc_adaptive_weight 3.3485, d_loss 0.4330, logits_real -0.0399, logits_fake -0.0387,
Train Epoch: [1/5] Iters:[990/20018] gen_loss 0.3372, rec_loss 0.0248, lpips_loss 0.1837, g_loss 0.0384, disc_weight 0.4000, disc_adaptive_weight 3.3574, d_loss 0.4323, logits_real -0.0397, logits_fake -0.0385,
Train Epoch: [1/5] Iters:[1000/20018] gen_loss 0.3385, rec_loss 0.0250, lpips_loss 0.1838, g_loss 0.0381, disc_weight 0.4000, disc_adaptive_weight 3.3983, d_loss 0.4313, logits_real -0.0395, logits_fake -0.0383,
Train Epoch: [1/5] Iters:[1010/20018] gen_loss 0.3385, rec_loss 0.0248, lpips_loss 0.1827, g_loss 0.0383, disc_weight 0.4000, disc_adaptive_weight 3.4204, d_loss 0.4304, logits_real -0.0395, logits_fake -0.0383,
Train Epoch: [1/5] Iters:[1020/20018] gen_loss 0.3356, rec_loss 0.0247, lpips_loss 0.1828, g_loss 0.0384, disc_weight 0.4000, disc_adaptive_weight 3.3377, d_loss 0.4297, logits_real -0.0396, logits_fake -0.0382,
