dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: wasserstein_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5
training_pre: wasserstein_vq
saver_name_pre: wasserstein_vq_CelebAHQ_model_65536_16_1_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[450/1875] loss 0.5274, rec_loss 0.0138, p_loss 0.2660, utilization 0.1327, perplexity 3984.8564,
Train Epoch: [1/30] Iters:[460/1875] loss 0.5201, rec_loss 0.0135, p_loss 0.2613, utilization 0.1358, perplexity 4095.7261,
Train Epoch: [1/30] Iters:[470/1875] loss 0.5140, rec_loss 0.0132, p_loss 0.2565, utilization 0.1390, perplexity 4236.0642,
Train Epoch: [1/30] Iters:[480/1875] loss 0.5025, rec_loss 0.0129, p_loss 0.2491, utilization 0.1404, perplexity 4340.6941,
Train Epoch: [1/30] Iters:[490/1875] loss 0.4825, rec_loss 0.0125, p_loss 0.2429, utilization 0.1448, perplexity 4597.0537,
Train Epoch: [1/30] Iters:[500/1875] loss 0.4753, rec_loss 0.0118, p_loss 0.2368, utilization 0.1468, perplexity 4706.1925,
Train Epoch: [1/30] Iters:[510/1875] loss 0.4763, rec_loss 0.0114, p_loss 0.2362, utilization 0.1498, perplexity 4902.0725,
Train Epoch: [1/30] Iters:[520/1875] loss 0.4826, rec_loss 0.0114, p_loss 0.2346, utilization 0.1509, perplexity 4945.9380,
Train Epoch: [1/30] Iters:[530/1875] loss 0.4799, rec_loss 0.0113, p_loss 0.2350, utilization 0.1547, perplexity 5104.2297,
Train Epoch: [1/30] Iters:[540/1875] loss 0.4818, rec_loss 0.0111, p_loss 0.2359, utilization 0.1562, perplexity 5148.9984,
Train Epoch: [1/30] Iters:[550/1875] loss 0.4883, rec_loss 0.0114, p_loss 0.2370, utilization 0.1591, perplexity 5301.6492,
Train Epoch: [1/30] Iters:[560/1875] loss 0.4877, rec_loss 0.0113, p_loss 0.2343, utilization 0.1614, perplexity 5396.3163,
Train Epoch: [1/30] Iters:[570/1875] loss 0.4793, rec_loss 0.0113, p_loss 0.2315, utilization 0.1654, perplexity 5614.9617,
Train Epoch: [1/30] Iters:[580/1875] loss 0.4843, rec_loss 0.0108, p_loss 0.2265, utilization 0.1681, perplexity 5784.2487,
Train Epoch: [1/30] Iters:[590/1875] loss 0.4856, rec_loss 0.0108, p_loss 0.2205, utilization 0.1716, perplexity 5963.8086,
Train Epoch: [1/30] Iters:[600/1875] loss 0.4784, rec_loss 0.0104, p_loss 0.2166, utilization 0.1743, perplexity 6075.1771,
Train Epoch: [1/30] Iters:[610/1875] loss 0.4780, rec_loss 0.0105, p_loss 0.2119, utilization 0.1767, perplexity 6173.0288,
Train Epoch: [1/30] Iters:[620/1875] loss 0.4765, rec_loss 0.0101, p_loss 0.2085, utilization 0.1790, perplexity 6289.4897,
Train Epoch: [1/30] Iters:[630/1875] loss 0.4681, rec_loss 0.0102, p_loss 0.2078, utilization 0.1817, perplexity 6398.8321,
Train Epoch: [1/30] Iters:[640/1875] loss 0.4588, rec_loss 0.0098, p_loss 0.2071, utilization 0.1837, perplexity 6523.1556,
Train Epoch: [1/30] Iters:[650/1875] loss 0.4564, rec_loss 0.0097, p_loss 0.2074, utilization 0.1861, perplexity 6665.2532,
Train Epoch: [1/30] Iters:[660/1875] loss 0.4519, rec_loss 0.0093, p_loss 0.2062, utilization 0.1886, perplexity 6881.9411,
Train Epoch: [1/30] Iters:[670/1875] loss 0.4598, rec_loss 0.0094, p_loss 0.2121, utilization 0.1904, perplexity 6964.6762,
Train Epoch: [1/30] Iters:[680/1875] loss 0.4589, rec_loss 0.0094, p_loss 0.2107, utilization 0.1917, perplexity 7078.2087,
Train Epoch: [1/30] Iters:[690/1875] loss 0.4705, rec_loss 0.0094, p_loss 0.2095, utilization 0.1923, perplexity 7022.5164,
Train Epoch: [1/30] Iters:[700/1875] loss 0.4737, rec_loss 0.0094, p_loss 0.2059, utilization 0.1942, perplexity 7060.5598,
Train Epoch: [1/30] Iters:[710/1875] loss 0.4619, rec_loss 0.0092, p_loss 0.2049, utilization 0.1966, perplexity 7105.3507,
Train Epoch: [1/30] Iters:[720/1875] loss 0.4574, rec_loss 0.0091, p_loss 0.2014, utilization 0.1993, perplexity 7242.8166,
Train Epoch: [1/30] Iters:[730/1875] loss 0.4523, rec_loss 0.0092, p_loss 0.1999, utilization 0.2019, perplexity 7381.1965,
Train Epoch: [1/30] Iters:[740/1875] loss 0.4404, rec_loss 0.0089, p_loss 0.1978, utilization 0.2061, perplexity 7640.9179,
Train Epoch: [1/30] Iters:[750/1875] loss 0.4350, rec_loss 0.0087, p_loss 0.1977, utilization 0.2091, perplexity 7820.3939,
Train Epoch: [1/30] Iters:[760/1875] loss 0.4482, rec_loss 0.0088, p_loss 0.1985, utilization 0.2108, perplexity 7935.7324,
Train Epoch: [1/30] Iters:[770/1875] loss 0.4415, rec_loss 0.0087, p_loss 0.1947, utilization 0.2129, perplexity 7968.4109,
Train Epoch: [1/30] Iters:[780/1875] loss 0.4553, rec_loss 0.0082, p_loss 0.1939, utilization 0.2143, perplexity 7989.5601,
Train Epoch: [1/30] Iters:[790/1875] loss 0.4555, rec_loss 0.0082, p_loss 0.1937, utilization 0.2156, perplexity 8044.2551,
Train Epoch: [1/30] Iters:[800/1875] loss 0.4614, rec_loss 0.0080, p_loss 0.1914, utilization 0.2166, perplexity 8080.6860,
Train Epoch: [1/30] Iters:[810/1875] loss 0.4474, rec_loss 0.0077, p_loss 0.1861, utilization 0.2186, perplexity 8136.4096,
Train Epoch: [1/30] Iters:[820/1875] loss 0.4424, rec_loss 0.0074, p_loss 0.1836, utilization 0.2201, perplexity 8309.2592,
Train Epoch: [1/30] Iters:[830/1875] loss 0.4261, rec_loss 0.0073, p_loss 0.1826, utilization 0.2227, perplexity 8446.5780,
Train Epoch: [1/30] Iters:[840/1875] loss 0.4271, rec_loss 0.0075, p_loss 0.1835, utilization 0.2249, perplexity 8560.6866,
Train Epoch: [1/30] Iters:[850/1875] loss 0.4163, rec_loss 0.0077, p_loss 0.1822, utilization 0.2279, perplexity 8761.9426,
Train Epoch: [1/30] Iters:[860/1875] loss 0.4224, rec_loss 0.0077, p_loss 0.1835, utilization 0.2303, perplexity 8833.8529,
Train Epoch: [1/30] Iters:[870/1875] loss 0.4201, rec_loss 0.0076, p_loss 0.1815, utilization 0.2328, perplexity 8923.8890,
Train Epoch: [1/30] Iters:[880/1875] loss 0.4194, rec_loss 0.0075, p_loss 0.1793, utilization 0.2343, perplexity 8952.9328,
Train Epoch: [1/30] Iters:[890/1875] loss 0.4150, rec_loss 0.0071, p_loss 0.1743, utilization 0.2358, perplexity 9045.2235,
Train Epoch: [1/30] Iters:[900/1875] loss 0.4074, rec_loss 0.0068, p_loss 0.1710, utilization 0.2381, perplexity 9226.7508,
Train Epoch: [1/30] Iters:[910/1875] loss 0.4074, rec_loss 0.0067, p_loss 0.1693, utilization 0.2393, perplexity 9353.7991,
Train Epoch: [1/30] Iters:[920/1875] loss 0.4119, rec_loss 0.0065, p_loss 0.1713, utilization 0.2403, perplexity 9359.5452,
Train Epoch: [1/30] Iters:[930/1875] loss 0.4099, rec_loss 0.0066, p_loss 0.1694, utilization 0.2431, perplexity 9598.9172,
Train Epoch: [1/30] Iters:[940/1875] loss 0.4189, rec_loss 0.0069, p_loss 0.1706, utilization 0.2453, perplexity 9674.0880,
Train Epoch: [1/30] Iters:[950/1875] loss 0.4305, rec_loss 0.0072, p_loss 0.1716, utilization 0.2461, perplexity 9639.8929,
Train Epoch: [1/30] Iters:[960/1875] loss 0.4305, rec_loss 0.0072, p_loss 0.1700, utilization 0.2480, perplexity 9710.9292,
Train Epoch: [1/30] Iters:[970/1875] loss 0.4245, rec_loss 0.0073, p_loss 0.1673, utilization 0.2508, perplexity 9912.1688,
Train Epoch: [1/30] Iters:[980/1875] loss 0.4218, rec_loss 0.0071, p_loss 0.1674, utilization 0.2524, perplexity 9951.2416,
Train Epoch: [1/30] Iters:[990/1875] loss 0.4080, rec_loss 0.0067, p_loss 0.1652, utilization 0.2545, perplexity 10137.4669,
Train Epoch: [1/30] Iters:[1000/1875] loss 0.3991, rec_loss 0.0065, p_loss 0.1648, utilization 0.2558, perplexity 10186.5114,
Train Epoch: [1/30] Iters:[1010/1875] loss 0.3889, rec_loss 0.0063, p_loss 0.1638, utilization 0.2578, perplexity 10346.2187,
Train Epoch: [1/30] Iters:[1020/1875] loss 0.3861, rec_loss 0.0061, p_loss 0.1623, utilization 0.2593, perplexity 10446.0539,
Train Epoch: [1/30] Iters:[1030/1875] loss 0.3930, rec_loss 0.0062, p_loss 0.1612, utilization 0.2614, perplexity 10585.9752,
