dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: vanilla_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_vq
saver_name_pre: vanilla_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[490/1875] loss 8.0746, rec_loss 0.0400, p_loss 0.4865, utilization 0.0017, perplexity 19.8939,
Train Epoch: [1/30] Iters:[500/1875] loss 7.7828, rec_loss 0.0393, p_loss 0.4771, utilization 0.0017, perplexity 20.6756,
Train Epoch: [1/30] Iters:[510/1875] loss 7.6785, rec_loss 0.0387, p_loss 0.4690, utilization 0.0017, perplexity 21.3295,
Train Epoch: [1/30] Iters:[520/1875] loss 7.6897, rec_loss 0.0380, p_loss 0.4601, utilization 0.0018, perplexity 22.2721,
Train Epoch: [1/30] Iters:[530/1875] loss 7.8158, rec_loss 0.0377, p_loss 0.4598, utilization 0.0018, perplexity 22.2025,
Train Epoch: [1/30] Iters:[540/1875] loss 7.9596, rec_loss 0.0375, p_loss 0.4564, utilization 0.0018, perplexity 22.4013,
Train Epoch: [1/30] Iters:[550/1875] loss 7.5727, rec_loss 0.0373, p_loss 0.4503, utilization 0.0018, perplexity 23.5534,
Train Epoch: [1/30] Iters:[560/1875] loss 7.2001, rec_loss 0.0355, p_loss 0.4461, utilization 0.0018, perplexity 23.3864,
Train Epoch: [1/30] Iters:[570/1875] loss 7.1459, rec_loss 0.0360, p_loss 0.4488, utilization 0.0018, perplexity 23.8954,
Train Epoch: [1/30] Iters:[580/1875] loss 6.9772, rec_loss 0.0359, p_loss 0.4412, utilization 0.0018, perplexity 25.0679,
Train Epoch: [1/30] Iters:[590/1875] loss 6.5551, rec_loss 0.0348, p_loss 0.4370, utilization 0.0019, perplexity 26.0081,
Train Epoch: [1/30] Iters:[600/1875] loss 6.3599, rec_loss 0.0344, p_loss 0.4369, utilization 0.0019, perplexity 26.1589,
Train Epoch: [1/30] Iters:[610/1875] loss 6.0425, rec_loss 0.0349, p_loss 0.4328, utilization 0.0019, perplexity 26.7225,
Train Epoch: [1/30] Iters:[620/1875] loss 5.7538, rec_loss 0.0337, p_loss 0.4241, utilization 0.0020, perplexity 27.1329,
Train Epoch: [1/30] Iters:[630/1875] loss 5.3937, rec_loss 0.0343, p_loss 0.4228, utilization 0.0020, perplexity 27.5440,
Train Epoch: [1/30] Iters:[640/1875] loss 5.2268, rec_loss 0.0345, p_loss 0.4224, utilization 0.0020, perplexity 27.7085,
Train Epoch: [1/30] Iters:[650/1875] loss 5.3713, rec_loss 0.0342, p_loss 0.4223, utilization 0.0020, perplexity 28.1298,
Train Epoch: [1/30] Iters:[660/1875] loss 5.3350, rec_loss 0.0339, p_loss 0.4208, utilization 0.0020, perplexity 29.0799,
Train Epoch: [1/30] Iters:[670/1875] loss 5.0535, rec_loss 0.0337, p_loss 0.4193, utilization 0.0021, perplexity 29.6982,
Train Epoch: [1/30] Iters:[680/1875] loss 4.7110, rec_loss 0.0322, p_loss 0.4139, utilization 0.0021, perplexity 30.5663,
Train Epoch: [1/30] Iters:[690/1875] loss 4.4618, rec_loss 0.0316, p_loss 0.4083, utilization 0.0021, perplexity 31.4043,
Train Epoch: [1/30] Iters:[700/1875] loss 4.1171, rec_loss 0.0306, p_loss 0.3997, utilization 0.0021, perplexity 31.9771,
Train Epoch: [1/30] Iters:[710/1875] loss 4.0476, rec_loss 0.0298, p_loss 0.3964, utilization 0.0022, perplexity 32.3715,
Train Epoch: [1/30] Iters:[720/1875] loss 4.0867, rec_loss 0.0293, p_loss 0.3951, utilization 0.0022, perplexity 32.7892,
Train Epoch: [1/30] Iters:[730/1875] loss 4.2863, rec_loss 0.0290, p_loss 0.3944, utilization 0.0022, perplexity 32.7127,
Train Epoch: [1/30] Iters:[740/1875] loss 4.3639, rec_loss 0.0287, p_loss 0.3950, utilization 0.0022, perplexity 33.1017,
Train Epoch: [1/30] Iters:[750/1875] loss 4.3614, rec_loss 0.0291, p_loss 0.3954, utilization 0.0022, perplexity 33.3716,
Train Epoch: [1/30] Iters:[760/1875] loss 4.1522, rec_loss 0.0295, p_loss 0.3932, utilization 0.0022, perplexity 34.0247,
Train Epoch: [1/30] Iters:[770/1875] loss 4.0292, rec_loss 0.0292, p_loss 0.3888, utilization 0.0023, perplexity 34.5333,
Train Epoch: [1/30] Iters:[780/1875] loss 3.8703, rec_loss 0.0286, p_loss 0.3907, utilization 0.0023, perplexity 34.2023,
Train Epoch: [1/30] Iters:[790/1875] loss 3.8687, rec_loss 0.0291, p_loss 0.3898, utilization 0.0023, perplexity 34.2765,
Train Epoch: [1/30] Iters:[800/1875] loss 3.8537, rec_loss 0.0287, p_loss 0.3874, utilization 0.0023, perplexity 34.9034,
Train Epoch: [1/30] Iters:[810/1875] loss 3.8515, rec_loss 0.0289, p_loss 0.3854, utilization 0.0023, perplexity 35.6199,
Train Epoch: [1/30] Iters:[820/1875] loss 3.6553, rec_loss 0.0291, p_loss 0.3834, utilization 0.0024, perplexity 35.5247,
Train Epoch: [1/30] Iters:[830/1875] loss 3.6575, rec_loss 0.0289, p_loss 0.3768, utilization 0.0024, perplexity 36.6545,
Train Epoch: [1/30] Iters:[840/1875] loss 3.6494, rec_loss 0.0290, p_loss 0.3744, utilization 0.0024, perplexity 37.0708,
Train Epoch: [1/30] Iters:[850/1875] loss 3.5486, rec_loss 0.0283, p_loss 0.3702, utilization 0.0025, perplexity 37.3570,
Train Epoch: [1/30] Iters:[860/1875] loss 3.4416, rec_loss 0.0276, p_loss 0.3721, utilization 0.0025, perplexity 36.9766,
Train Epoch: [1/30] Iters:[870/1875] loss 3.5238, rec_loss 0.0275, p_loss 0.3730, utilization 0.0025, perplexity 36.7000,
Train Epoch: [1/30] Iters:[880/1875] loss 3.4605, rec_loss 0.0280, p_loss 0.3740, utilization 0.0025, perplexity 37.0596,
