dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: vanilla_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_vq
saver_name_pre: vanilla_vq_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[980/1875] loss 4.7359, rec_loss 0.0432, p_loss 0.4325, utilization 0.0002, perplexity 6.0104,
Train Epoch: [1/30] Iters:[990/1875] loss 4.6153, rec_loss 0.0438, p_loss 0.4297, utilization 0.0002, perplexity 6.0742,
Train Epoch: [1/30] Iters:[1000/1875] loss 4.4969, rec_loss 0.0436, p_loss 0.4291, utilization 0.0002, perplexity 6.0882,
Train Epoch: [1/30] Iters:[1010/1875] loss 4.4256, rec_loss 0.0437, p_loss 0.4273, utilization 0.0002, perplexity 6.1134,
Train Epoch: [1/30] Iters:[1020/1875] loss 4.2686, rec_loss 0.0425, p_loss 0.4199, utilization 0.0002, perplexity 6.1487,
Train Epoch: [1/30] Iters:[1030/1875] loss 4.2798, rec_loss 0.0431, p_loss 0.4185, utilization 0.0002, perplexity 6.2076,
Train Epoch: [1/30] Iters:[1040/1875] loss 4.2729, rec_loss 0.0422, p_loss 0.4180, utilization 0.0002, perplexity 6.1848,
Train Epoch: [1/30] Iters:[1050/1875] loss 4.2859, rec_loss 0.0425, p_loss 0.4156, utilization 0.0002, perplexity 6.2342,
Train Epoch: [1/30] Iters:[1060/1875] loss 4.3218, rec_loss 0.0425, p_loss 0.4164, utilization 0.0002, perplexity 6.2665,
Train Epoch: [1/30] Iters:[1070/1875] loss 4.5485, rec_loss 0.0435, p_loss 0.4209, utilization 0.0002, perplexity 6.2469,
Train Epoch: [1/30] Iters:[1080/1875] loss 4.3296, rec_loss 0.0443, p_loss 0.4211, utilization 0.0002, perplexity 6.1454,
Train Epoch: [1/30] Iters:[1090/1875] loss 4.3163, rec_loss 0.0447, p_loss 0.4218, utilization 0.0002, perplexity 6.2182,
Train Epoch: [1/30] Iters:[1100/1875] loss 4.2796, rec_loss 0.0440, p_loss 0.4219, utilization 0.0002, perplexity 6.1694,
Train Epoch: [1/30] Iters:[1110/1875] loss 4.0912, rec_loss 0.0424, p_loss 0.4153, utilization 0.0002, perplexity 6.1251,
Train Epoch: [1/30] Iters:[1120/1875] loss 3.8819, rec_loss 0.0419, p_loss 0.4104, utilization 0.0002, perplexity 6.1752,
Train Epoch: [1/30] Iters:[1130/1875] loss 3.9043, rec_loss 0.0406, p_loss 0.4076, utilization 0.0002, perplexity 6.2168,
Train Epoch: [1/30] Iters:[1140/1875] loss 3.9369, rec_loss 0.0396, p_loss 0.4067, utilization 0.0002, perplexity 6.1431,
Train Epoch: [1/30] Iters:[1150/1875] loss 3.8667, rec_loss 0.0397, p_loss 0.4053, utilization 0.0002, perplexity 6.1896,
Train Epoch: [1/30] Iters:[1160/1875] loss 3.8744, rec_loss 0.0407, p_loss 0.4072, utilization 0.0002, perplexity 6.1862,
Train Epoch: [1/30] Iters:[1170/1875] loss 3.7892, rec_loss 0.0400, p_loss 0.4069, utilization 0.0002, perplexity 6.1835,
Train Epoch: [1/30] Iters:[1180/1875] loss 3.7211, rec_loss 0.0397, p_loss 0.4063, utilization 0.0002, perplexity 6.1601,
Train Epoch: [1/30] Iters:[1190/1875] loss 3.6835, rec_loss 0.0414, p_loss 0.4025, utilization 0.0002, perplexity 6.2227,
Train Epoch: [1/30] Iters:[1200/1875] loss 3.6430, rec_loss 0.0401, p_loss 0.4004, utilization 0.0002, perplexity 6.1691,
Train Epoch: [1/30] Iters:[1210/1875] loss 3.6200, rec_loss 0.0401, p_loss 0.4013, utilization 0.0002, perplexity 6.1756,
Train Epoch: [1/30] Iters:[1220/1875] loss 3.6069, rec_loss 0.0396, p_loss 0.4005, utilization 0.0002, perplexity 6.1617,
Train Epoch: [1/30] Iters:[1230/1875] loss 3.6173, rec_loss 0.0389, p_loss 0.3990, utilization 0.0002, perplexity 6.2510,
Train Epoch: [1/30] Iters:[1240/1875] loss 3.4868, rec_loss 0.0382, p_loss 0.3971, utilization 0.0002, perplexity 6.1855,
Train Epoch: [1/30] Iters:[1250/1875] loss 3.4531, rec_loss 0.0386, p_loss 0.3984, utilization 0.0002, perplexity 6.2381,
Train Epoch: [1/30] Iters:[1260/1875] loss 3.4750, rec_loss 0.0381, p_loss 0.3983, utilization 0.0002, perplexity 6.2553,
Train Epoch: [1/30] Iters:[1270/1875] loss 3.4650, rec_loss 0.0383, p_loss 0.3962, utilization 0.0002, perplexity 6.2211,
Train Epoch: [1/30] Iters:[1280/1875] loss 3.4672, rec_loss 0.0394, p_loss 0.3981, utilization 0.0002, perplexity 6.1978,
Train Epoch: [1/30] Iters:[1290/1875] loss 3.4719, rec_loss 0.0384, p_loss 0.3993, utilization 0.0002, perplexity 6.2430,
