dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
VQ: fsq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_8_4
loss_pre: loss_1.0
training_pre: fsq
saver_name_pre: fsq_CelebAHQ_model_8_4_loss_1.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[580/1875] loss 0.2373, rec_loss 0.0109, p_loss 0.2264, utilization 0.2216, perplexity 4451.0941,
Train Epoch: [1/30] Iters:[590/1875] loss 0.2330, rec_loss 0.0110, p_loss 0.2220, utilization 0.2238, perplexity 4546.2010,
Train Epoch: [1/30] Iters:[600/1875] loss 0.2306, rec_loss 0.0111, p_loss 0.2195, utilization 0.2236, perplexity 4469.1533,
Train Epoch: [1/30] Iters:[610/1875] loss 0.2293, rec_loss 0.0110, p_loss 0.2183, utilization 0.2259, perplexity 4520.8582,
Train Epoch: [1/30] Iters:[620/1875] loss 0.2272, rec_loss 0.0110, p_loss 0.2162, utilization 0.2279, perplexity 4570.1191,
Train Epoch: [1/30] Iters:[630/1875] loss 0.2247, rec_loss 0.0110, p_loss 0.2138, utilization 0.2292, perplexity 4627.3880,
Train Epoch: [1/30] Iters:[640/1875] loss 0.2227, rec_loss 0.0106, p_loss 0.2121, utilization 0.2295, perplexity 4644.4553,
Train Epoch: [1/30] Iters:[650/1875] loss 0.2193, rec_loss 0.0103, p_loss 0.2090, utilization 0.2315, perplexity 4754.0882,
Train Epoch: [1/30] Iters:[660/1875] loss 0.2167, rec_loss 0.0101, p_loss 0.2067, utilization 0.2322, perplexity 4836.2422,
Train Epoch: [1/30] Iters:[670/1875] loss 0.2160, rec_loss 0.0096, p_loss 0.2063, utilization 0.2331, perplexity 4874.2778,
Train Epoch: [1/30] Iters:[680/1875] loss 0.2135, rec_loss 0.0094, p_loss 0.2041, utilization 0.2357, perplexity 5006.8750,
Train Epoch: [1/30] Iters:[690/1875] loss 0.2138, rec_loss 0.0092, p_loss 0.2046, utilization 0.2378, perplexity 5048.3076,
Train Epoch: [1/30] Iters:[700/1875] loss 0.2126, rec_loss 0.0089, p_loss 0.2037, utilization 0.2386, perplexity 5029.9031,
Train Epoch: [1/30] Iters:[710/1875] loss 0.2108, rec_loss 0.0087, p_loss 0.2022, utilization 0.2406, perplexity 5049.1816,
Train Epoch: [1/30] Iters:[720/1875] loss 0.2099, rec_loss 0.0089, p_loss 0.2010, utilization 0.2414, perplexity 5116.6992,
Train Epoch: [1/30] Iters:[730/1875] loss 0.2090, rec_loss 0.0089, p_loss 0.2001, utilization 0.2420, perplexity 5119.0879,
Train Epoch: [1/30] Iters:[740/1875] loss 0.2087, rec_loss 0.0089, p_loss 0.1997, utilization 0.2440, perplexity 5221.5145,
Train Epoch: [1/30] Iters:[750/1875] loss 0.2086, rec_loss 0.0089, p_loss 0.1997, utilization 0.2464, perplexity 5348.2654,
Train Epoch: [1/30] Iters:[760/1875] loss 0.2107, rec_loss 0.0092, p_loss 0.2015, utilization 0.2486, perplexity 5479.2958,
Train Epoch: [1/30] Iters:[770/1875] loss 0.2100, rec_loss 0.0090, p_loss 0.2010, utilization 0.2501, perplexity 5475.3327,
Train Epoch: [1/30] Iters:[780/1875] loss 0.2105, rec_loss 0.0090, p_loss 0.2015, utilization 0.2504, perplexity 5475.1066,
Train Epoch: [1/30] Iters:[790/1875] loss 0.2079, rec_loss 0.0091, p_loss 0.1988, utilization 0.2513, perplexity 5540.4518,
Train Epoch: [1/30] Iters:[800/1875] loss 0.2072, rec_loss 0.0094, p_loss 0.1978, utilization 0.2513, perplexity 5554.8147,
Train Epoch: [1/30] Iters:[810/1875] loss 0.2042, rec_loss 0.0093, p_loss 0.1950, utilization 0.2493, perplexity 5408.4769,
Train Epoch: [1/30] Iters:[820/1875] loss 0.2028, rec_loss 0.0093, p_loss 0.1935, utilization 0.2498, perplexity 5475.8071,
Train Epoch: [1/30] Iters:[830/1875] loss 0.2012, rec_loss 0.0093, p_loss 0.1919, utilization 0.2505, perplexity 5473.9261,
Train Epoch: [1/30] Iters:[840/1875] loss 0.2014, rec_loss 0.0091, p_loss 0.1923, utilization 0.2522, perplexity 5535.9752,
Train Epoch: [1/30] Iters:[850/1875] loss 0.1994, rec_loss 0.0087, p_loss 0.1907, utilization 0.2540, perplexity 5651.5089,
Train Epoch: [1/30] Iters:[860/1875] loss 0.1994, rec_loss 0.0085, p_loss 0.1909, utilization 0.2553, perplexity 5704.3774,
Train Epoch: [1/30] Iters:[870/1875] loss 0.1992, rec_loss 0.0084, p_loss 0.1908, utilization 0.2569, perplexity 5761.9540,
Train Epoch: [1/30] Iters:[880/1875] loss 0.1994, rec_loss 0.0084, p_loss 0.1911, utilization 0.2558, perplexity 5717.2062,
Train Epoch: [1/30] Iters:[890/1875] loss 0.1983, rec_loss 0.0087, p_loss 0.1896, utilization 0.2556, perplexity 5678.4394,
Train Epoch: [1/30] Iters:[900/1875] loss 0.1963, rec_loss 0.0087, p_loss 0.1876, utilization 0.2558, perplexity 5669.1610,
Train Epoch: [1/30] Iters:[910/1875] loss 0.1949, rec_loss 0.0087, p_loss 0.1862, utilization 0.2569, perplexity 5723.0245,
