dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: ema_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_vq
saver_name_pre: ema_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[920/1875] loss 0.1814, rec_loss 0.0055, p_loss 0.1601, utilization 0.4264, perplexity 17930.6643,
Train Epoch: [1/30] Iters:[930/1875] loss 0.1785, rec_loss 0.0054, p_loss 0.1571, utilization 0.4282, perplexity 18161.6547,
Train Epoch: [1/30] Iters:[940/1875] loss 0.1777, rec_loss 0.0053, p_loss 0.1564, utilization 0.4286, perplexity 18202.0860,
Train Epoch: [1/30] Iters:[950/1875] loss 0.1805, rec_loss 0.0056, p_loss 0.1585, utilization 0.4280, perplexity 18091.4185,
Train Epoch: [1/30] Iters:[960/1875] loss 0.1815, rec_loss 0.0057, p_loss 0.1592, utilization 0.4280, perplexity 18058.7205,
Train Epoch: [1/30] Iters:[970/1875] loss 0.1812, rec_loss 0.0058, p_loss 0.1585, utilization 0.4305, perplexity 18256.0591,
Train Epoch: [1/30] Iters:[980/1875] loss 0.1821, rec_loss 0.0058, p_loss 0.1594, utilization 0.4297, perplexity 18068.9503,
Train Epoch: [1/30] Iters:[990/1875] loss 0.1812, rec_loss 0.0057, p_loss 0.1585, utilization 0.4298, perplexity 18098.6143,
Train Epoch: [1/30] Iters:[1000/1875] loss 0.1817, rec_loss 0.0055, p_loss 0.1591, utilization 0.4288, perplexity 17981.8881,
Train Epoch: [1/30] Iters:[1010/1875] loss 0.1826, rec_loss 0.0057, p_loss 0.1598, utilization 0.4294, perplexity 18162.5324,
Train Epoch: [1/30] Iters:[1020/1875] loss 0.1811, rec_loss 0.0058, p_loss 0.1584, utilization 0.4274, perplexity 18040.2655,
Train Epoch: [1/30] Iters:[1030/1875] loss 0.1817, rec_loss 0.0059, p_loss 0.1586, utilization 0.4286, perplexity 18208.8870,
Train Epoch: [1/30] Iters:[1040/1875] loss 0.1833, rec_loss 0.0060, p_loss 0.1598, utilization 0.4289, perplexity 18239.0646,
Train Epoch: [1/30] Iters:[1050/1875] loss 0.1797, rec_loss 0.0060, p_loss 0.1566, utilization 0.4274, perplexity 18183.1656,
Train Epoch: [1/30] Iters:[1060/1875] loss 0.1773, rec_loss 0.0059, p_loss 0.1542, utilization 0.4260, perplexity 18057.8179,
Train Epoch: [1/30] Iters:[1070/1875] loss 0.1792, rec_loss 0.0062, p_loss 0.1556, utilization 0.4253, perplexity 18048.5682,
