dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: mmd_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5
training_pre: mmd_vq
saver_name_pre: mmd_vq_CelebAHQ_model_256_8_2_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[510/1875] loss 5.0134, rec_loss 0.0342, p_loss 0.4116, utilization 0.0015, perplexity 17.8053,
Train Epoch: [1/30] Iters:[520/1875] loss 5.0420, rec_loss 0.0343, p_loss 0.4093, utilization 0.0016, perplexity 17.9422,
Train Epoch: [1/30] Iters:[530/1875] loss 4.9562, rec_loss 0.0337, p_loss 0.4069, utilization 0.0016, perplexity 18.1732,
Train Epoch: [1/30] Iters:[540/1875] loss 4.9181, rec_loss 0.0336, p_loss 0.4072, utilization 0.0017, perplexity 18.1344,
Train Epoch: [1/30] Iters:[550/1875] loss 4.8764, rec_loss 0.0332, p_loss 0.4070, utilization 0.0017, perplexity 18.6022,
Train Epoch: [1/30] Iters:[560/1875] loss 4.7797, rec_loss 0.0322, p_loss 0.4044, utilization 0.0018, perplexity 18.7303,
Train Epoch: [1/30] Iters:[570/1875] loss 4.5934, rec_loss 0.0327, p_loss 0.4030, utilization 0.0018, perplexity 19.3571,
Train Epoch: [1/30] Iters:[580/1875] loss 4.4398, rec_loss 0.0339, p_loss 0.4042, utilization 0.0019, perplexity 19.7242,
Train Epoch: [1/30] Iters:[590/1875] loss 4.3437, rec_loss 0.0331, p_loss 0.4003, utilization 0.0019, perplexity 20.3098,
Train Epoch: [1/30] Iters:[600/1875] loss 4.2177, rec_loss 0.0327, p_loss 0.3995, utilization 0.0020, perplexity 20.5597,
Train Epoch: [1/30] Iters:[610/1875] loss 4.0791, rec_loss 0.0329, p_loss 0.3982, utilization 0.0021, perplexity 21.1573,
Train Epoch: [1/30] Iters:[620/1875] loss 4.0548, rec_loss 0.0319, p_loss 0.3947, utilization 0.0021, perplexity 21.2672,
Train Epoch: [1/30] Iters:[630/1875] loss 3.8468, rec_loss 0.0311, p_loss 0.3918, utilization 0.0022, perplexity 21.9635,
Train Epoch: [1/30] Iters:[640/1875] loss 3.6410, rec_loss 0.0310, p_loss 0.3917, utilization 0.0024, perplexity 22.5459,
Train Epoch: [1/30] Iters:[650/1875] loss 3.5462, rec_loss 0.0308, p_loss 0.3863, utilization 0.0025, perplexity 23.3223,
Train Epoch: [1/30] Iters:[660/1875] loss 3.5182, rec_loss 0.0300, p_loss 0.3804, utilization 0.0025, perplexity 23.7783,
Train Epoch: [1/30] Iters:[670/1875] loss 3.3415, rec_loss 0.0287, p_loss 0.3777, utilization 0.0026, perplexity 24.4351,
