dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: ema_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_vq
saver_name_pre: ema_vq_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[1390/1875] loss 0.2085, rec_loss 0.0065, p_loss 0.1736, utilization 0.0227, perplexity 1024.7766,
Train Epoch: [1/30] Iters:[1400/1875] loss 0.2083, rec_loss 0.0066, p_loss 0.1730, utilization 0.0227, perplexity 1031.5421,
Train Epoch: [1/30] Iters:[1410/1875] loss 0.2071, rec_loss 0.0067, p_loss 0.1713, utilization 0.0228, perplexity 1035.9992,
Train Epoch: [1/30] Iters:[1420/1875] loss 0.2046, rec_loss 0.0063, p_loss 0.1690, utilization 0.0228, perplexity 1042.5282,
Train Epoch: [1/30] Iters:[1430/1875] loss 0.2015, rec_loss 0.0059, p_loss 0.1667, utilization 0.0228, perplexity 1040.5549,
Train Epoch: [1/30] Iters:[1440/1875] loss 0.1996, rec_loss 0.0057, p_loss 0.1651, utilization 0.0229, perplexity 1049.5977,
Train Epoch: [1/30] Iters:[1450/1875] loss 0.1961, rec_loss 0.0055, p_loss 0.1623, utilization 0.0229, perplexity 1049.3029,
Train Epoch: [1/30] Iters:[1460/1875] loss 0.1949, rec_loss 0.0053, p_loss 0.1613, utilization 0.0229, perplexity 1047.9580,
Train Epoch: [1/30] Iters:[1470/1875] loss 0.1962, rec_loss 0.0055, p_loss 0.1626, utilization 0.0230, perplexity 1046.6147,
Train Epoch: [1/30] Iters:[1480/1875] loss 0.1973, rec_loss 0.0057, p_loss 0.1633, utilization 0.0230, perplexity 1051.2799,
Train Epoch: [1/30] Iters:[1490/1875] loss 0.1979, rec_loss 0.0058, p_loss 0.1638, utilization 0.0230, perplexity 1052.9912,
Train Epoch: [1/30] Iters:[1500/1875] loss 0.1982, rec_loss 0.0059, p_loss 0.1637, utilization 0.0230, perplexity 1059.2057,
Train Epoch: [1/30] Iters:[1510/1875] loss 0.1983, rec_loss 0.0058, p_loss 0.1638, utilization 0.0231, perplexity 1058.9200,
Train Epoch: [1/30] Iters:[1520/1875] loss 0.1968, rec_loss 0.0056, p_loss 0.1627, utilization 0.0231, perplexity 1057.7340,
Train Epoch: [1/30] Iters:[1530/1875] loss 0.1966, rec_loss 0.0056, p_loss 0.1623, utilization 0.0231, perplexity 1060.3708,
Train Epoch: [1/30] Iters:[1540/1875] loss 0.1963, rec_loss 0.0055, p_loss 0.1619, utilization 0.0231, perplexity 1061.5062,
Train Epoch: [1/30] Iters:[1550/1875] loss 0.1974, rec_loss 0.0054, p_loss 0.1632, utilization 0.0231, perplexity 1061.9307,
Train Epoch: [1/30] Iters:[1560/1875] loss 0.1961, rec_loss 0.0055, p_loss 0.1617, utilization 0.0231, perplexity 1064.7782,
Train Epoch: [1/30] Iters:[1570/1875] loss 0.1954, rec_loss 0.0056, p_loss 0.1605, utilization 0.0232, perplexity 1069.8231,
Train Epoch: [1/30] Iters:[1580/1875] loss 0.1946, rec_loss 0.0055, p_loss 0.1601, utilization 0.0232, perplexity 1068.7197,
Train Epoch: [1/30] Iters:[1590/1875] loss 0.1954, rec_loss 0.0056, p_loss 0.1609, utilization 0.0232, perplexity 1068.4447,
Train Epoch: [1/30] Iters:[1600/1875] loss 0.1951, rec_loss 0.0057, p_loss 0.1606, utilization 0.0233, perplexity 1064.0925,
Train Epoch: [1/30] Iters:[1610/1875] loss 0.1952, rec_loss 0.0057, p_loss 0.1609, utilization 0.0233, perplexity 1065.7014,
