dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: online_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: online_vq
saver_name_pre: online_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[470/1875] loss 0.2987, rec_loss 0.0115, p_loss 0.2428, utilization 0.2770, perplexity 8952.6418,
Train Epoch: [1/30] Iters:[480/1875] loss 0.2945, rec_loss 0.0112, p_loss 0.2385, utilization 0.2785, perplexity 9129.7481,
Train Epoch: [1/30] Iters:[490/1875] loss 0.2897, rec_loss 0.0110, p_loss 0.2342, utilization 0.2812, perplexity 9288.8459,
Train Epoch: [1/30] Iters:[500/1875] loss 0.2849, rec_loss 0.0106, p_loss 0.2303, utilization 0.2829, perplexity 9432.8404,
Train Epoch: [1/30] Iters:[510/1875] loss 0.2822, rec_loss 0.0104, p_loss 0.2272, utilization 0.2841, perplexity 9632.8167,
Train Epoch: [1/30] Iters:[520/1875] loss 0.2834, rec_loss 0.0105, p_loss 0.2268, utilization 0.2849, perplexity 9651.0586,
Train Epoch: [1/30] Iters:[530/1875] loss 0.2860, rec_loss 0.0113, p_loss 0.2284, utilization 0.2852, perplexity 9679.6757,
Train Epoch: [1/30] Iters:[540/1875] loss 0.2878, rec_loss 0.0114, p_loss 0.2298, utilization 0.2857, perplexity 9682.0771,
Train Epoch: [1/30] Iters:[550/1875] loss 0.2890, rec_loss 0.0114, p_loss 0.2305, utilization 0.2878, perplexity 9832.0440,
Train Epoch: [1/30] Iters:[560/1875] loss 0.2855, rec_loss 0.0112, p_loss 0.2283, utilization 0.2886, perplexity 9819.6671,
Train Epoch: [1/30] Iters:[570/1875] loss 0.2794, rec_loss 0.0107, p_loss 0.2227, utilization 0.2915, perplexity 10047.5932,
Train Epoch: [1/30] Iters:[580/1875] loss 0.2764, rec_loss 0.0097, p_loss 0.2205, utilization 0.2934, perplexity 10197.3761,
Train Epoch: [1/30] Iters:[590/1875] loss 0.2798, rec_loss 0.0104, p_loss 0.2230, utilization 0.2952, perplexity 10295.6211,
Train Epoch: [1/30] Iters:[600/1875] loss 0.2776, rec_loss 0.0105, p_loss 0.2210, utilization 0.2946, perplexity 10157.4022,
Train Epoch: [1/30] Iters:[610/1875] loss 0.2784, rec_loss 0.0106, p_loss 0.2210, utilization 0.2959, perplexity 10210.0912,
Train Epoch: [1/30] Iters:[620/1875] loss 0.2777, rec_loss 0.0104, p_loss 0.2215, utilization 0.2955, perplexity 10170.1935,
Train Epoch: [1/30] Iters:[630/1875] loss 0.2753, rec_loss 0.0106, p_loss 0.2192, utilization 0.2961, perplexity 10169.1590,
Train Epoch: [1/30] Iters:[640/1875] loss 0.2671, rec_loss 0.0096, p_loss 0.2125, utilization 0.2968, perplexity 10267.9738,
Train Epoch: [1/30] Iters:[650/1875] loss 0.2660, rec_loss 0.0094, p_loss 0.2114, utilization 0.2985, perplexity 10434.9164,
Train Epoch: [1/30] Iters:[660/1875] loss 0.2628, rec_loss 0.0090, p_loss 0.2083, utilization 0.3007, perplexity 10600.7544,
Train Epoch: [1/30] Iters:[670/1875] loss 0.2618, rec_loss 0.0089, p_loss 0.2078, utilization 0.3009, perplexity 10590.6941,
Train Epoch: [1/30] Iters:[680/1875] loss 0.2614, rec_loss 0.0089, p_loss 0.2066, utilization 0.3032, perplexity 10758.9450,
Train Epoch: [1/30] Iters:[690/1875] loss 0.2627, rec_loss 0.0090, p_loss 0.2070, utilization 0.3037, perplexity 10709.1948,
Train Epoch: [1/30] Iters:[700/1875] loss 0.2613, rec_loss 0.0092, p_loss 0.2055, utilization 0.3045, perplexity 10738.7630,
Train Epoch: [1/30] Iters:[710/1875] loss 0.2620, rec_loss 0.0093, p_loss 0.2068, utilization 0.3040, perplexity 10656.6423,
Train Epoch: [1/30] Iters:[720/1875] loss 0.2620, rec_loss 0.0093, p_loss 0.2057, utilization 0.3051, perplexity 10721.5353,
Train Epoch: [1/30] Iters:[730/1875] loss 0.2620, rec_loss 0.0091, p_loss 0.2057, utilization 0.3065, perplexity 10732.1163,
Train Epoch: [1/30] Iters:[740/1875] loss 0.2602, rec_loss 0.0088, p_loss 0.2048, utilization 0.3079, perplexity 10838.7512,
Train Epoch: [1/30] Iters:[750/1875] loss 0.2576, rec_loss 0.0085, p_loss 0.2031, utilization 0.3097, perplexity 10894.8832,
Train Epoch: [1/30] Iters:[760/1875] loss 0.2562, rec_loss 0.0082, p_loss 0.2010, utilization 0.3115, perplexity 11031.1401,
Train Epoch: [1/30] Iters:[770/1875] loss 0.2521, rec_loss 0.0080, p_loss 0.1980, utilization 0.3141, perplexity 11160.8292,
Train Epoch: [1/30] Iters:[780/1875] loss 0.2497, rec_loss 0.0078, p_loss 0.1965, utilization 0.3155, perplexity 11260.8582,
Train Epoch: [1/30] Iters:[790/1875] loss 0.2496, rec_loss 0.0078, p_loss 0.1958, utilization 0.3176, perplexity 11393.9012,
Train Epoch: [1/30] Iters:[800/1875] loss 0.2486, rec_loss 0.0077, p_loss 0.1944, utilization 0.3192, perplexity 11560.9978,
Train Epoch: [1/30] Iters:[810/1875] loss 0.2460, rec_loss 0.0078, p_loss 0.1918, utilization 0.3211, perplexity 11611.3359,
Train Epoch: [1/30] Iters:[820/1875] loss 0.2484, rec_loss 0.0077, p_loss 0.1936, utilization 0.3222, perplexity 11708.3887,
Train Epoch: [1/30] Iters:[830/1875] loss 0.2471, rec_loss 0.0077, p_loss 0.1920, utilization 0.3219, perplexity 11656.6224,
Train Epoch: [1/30] Iters:[840/1875] loss 0.2494, rec_loss 0.0079, p_loss 0.1931, utilization 0.3219, perplexity 11665.1234,
Train Epoch: [1/30] Iters:[850/1875] loss 0.2512, rec_loss 0.0081, p_loss 0.1938, utilization 0.3231, perplexity 11786.5351,
Train Epoch: [1/30] Iters:[860/1875] loss 0.2514, rec_loss 0.0079, p_loss 0.1941, utilization 0.3228, perplexity 11685.5231,
Train Epoch: [1/30] Iters:[870/1875] loss 0.2498, rec_loss 0.0080, p_loss 0.1926, utilization 0.3237, perplexity 11734.3061,
Train Epoch: [1/30] Iters:[880/1875] loss 0.2526, rec_loss 0.0082, p_loss 0.1946, utilization 0.3248, perplexity 11762.8484,
Train Epoch: [1/30] Iters:[890/1875] loss 0.2502, rec_loss 0.0079, p_loss 0.1923, utilization 0.3262, perplexity 11813.6136,
Train Epoch: [1/30] Iters:[900/1875] loss 0.2471, rec_loss 0.0077, p_loss 0.1904, utilization 0.3264, perplexity 11866.0283,
Train Epoch: [1/30] Iters:[910/1875] loss 0.2476, rec_loss 0.0078, p_loss 0.1907, utilization 0.3284, perplexity 12133.9416,
Train Epoch: [1/30] Iters:[920/1875] loss 0.2466, rec_loss 0.0077, p_loss 0.1901, utilization 0.3286, perplexity 12132.0257,
Train Epoch: [1/30] Iters:[930/1875] loss 0.2444, rec_loss 0.0074, p_loss 0.1877, utilization 0.3299, perplexity 12288.6362,
Train Epoch: [1/30] Iters:[940/1875] loss 0.2435, rec_loss 0.0073, p_loss 0.1873, utilization 0.3299, perplexity 12282.3197,
Train Epoch: [1/30] Iters:[950/1875] loss 0.2461, rec_loss 0.0074, p_loss 0.1887, utilization 0.3303, perplexity 12250.4660,
Train Epoch: [1/30] Iters:[960/1875] loss 0.2456, rec_loss 0.0073, p_loss 0.1874, utilization 0.3311, perplexity 12267.7334,
Train Epoch: [1/30] Iters:[970/1875] loss 0.2485, rec_loss 0.0077, p_loss 0.1883, utilization 0.3325, perplexity 12412.4774,
Train Epoch: [1/30] Iters:[980/1875] loss 0.2464, rec_loss 0.0075, p_loss 0.1870, utilization 0.3328, perplexity 12404.3521,
Train Epoch: [1/30] Iters:[990/1875] loss 0.2430, rec_loss 0.0072, p_loss 0.1843, utilization 0.3342, perplexity 12505.6697,
Train Epoch: [1/30] Iters:[1000/1875] loss 0.2424, rec_loss 0.0071, p_loss 0.1835, utilization 0.3351, perplexity 12507.2306,
Train Epoch: [1/30] Iters:[1010/1875] loss 0.2424, rec_loss 0.0073, p_loss 0.1829, utilization 0.3347, perplexity 12515.2850,
