Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.1411, rec_loss 0.0238, lpips_loss 0.1782, g_loss -0.0220, disc_weight 0.4000, disc_adaptive_weight 2.7785, d_loss 0.5932, logits_real 0.0194, logits_fake 0.0225,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.1440, rec_loss 0.0237, lpips_loss 0.1776, g_loss -0.0202, disc_weight 0.4000, disc_adaptive_weight 2.8087, d_loss 0.5870, logits_real 0.0175, logits_fake 0.0206,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.1455, rec_loss 0.0231, lpips_loss 0.1757, g_loss -0.0187, disc_weight 0.4000, disc_adaptive_weight 2.8112, d_loss 0.5800, logits_real 0.0158, logits_fake 0.0188,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.1498, rec_loss 0.0235, lpips_loss 0.1756, g_loss -0.0174, disc_weight 0.4000, disc_adaptive_weight 2.7756, d_loss 0.5754, logits_real 0.0143, logits_fake 0.0172,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.1555, rec_loss 0.0233, lpips_loss 0.1759, g_loss -0.0160, disc_weight 0.4000, disc_adaptive_weight 2.7207, d_loss 0.5699, logits_real 0.0128, logits_fake 0.0156,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.1604, rec_loss 0.0239, lpips_loss 0.1774, g_loss -0.0148, disc_weight 0.4000, disc_adaptive_weight 2.7506, d_loss 0.5654, logits_real 0.0115, logits_fake 0.0143,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.1669, rec_loss 0.0244, lpips_loss 0.1785, g_loss -0.0129, disc_weight 0.4000, disc_adaptive_weight 2.7539, d_loss 0.5612, logits_real 0.0100, logits_fake 0.0126,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.1704, rec_loss 0.0242, lpips_loss 0.1782, g_loss -0.0112, disc_weight 0.4000, disc_adaptive_weight 2.8607, d_loss 0.5568, logits_real 0.0085, logits_fake 0.0110,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.1770, rec_loss 0.0239, lpips_loss 0.1788, g_loss -0.0092, disc_weight 0.4000, disc_adaptive_weight 2.7008, d_loss 0.5515, logits_real 0.0068, logits_fake 0.0091,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.1824, rec_loss 0.0241, lpips_loss 0.1780, g_loss -0.0071, disc_weight 0.4000, disc_adaptive_weight 2.6395, d_loss 0.5477, logits_real 0.0052, logits_fake 0.0074,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.1856, rec_loss 0.0234, lpips_loss 0.1765, g_loss -0.0051, disc_weight 0.4000, disc_adaptive_weight 2.6748, d_loss 0.5426, logits_real 0.0035, logits_fake 0.0050,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.1892, rec_loss 0.0237, lpips_loss 0.1760, g_loss -0.0038, disc_weight 0.4000, disc_adaptive_weight 2.6095, d_loss 0.5387, logits_real 0.0020, logits_fake 0.0036,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.1955, rec_loss 0.0239, lpips_loss 0.1770, g_loss -0.0023, disc_weight 0.4000, disc_adaptive_weight 2.5399, d_loss 0.5360, logits_real 0.0006, logits_fake 0.0022,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.1974, rec_loss 0.0239, lpips_loss 0.1752, g_loss -0.0007, disc_weight 0.4000, disc_adaptive_weight 2.7444, d_loss 0.5324, logits_real -0.0008, logits_fake 0.0009,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.2006, rec_loss 0.0237, lpips_loss 0.1747, g_loss 0.0007, disc_weight 0.4000, disc_adaptive_weight 2.7487, d_loss 0.5289, logits_real -0.0023, logits_fake -0.0006,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.2039, rec_loss 0.0235, lpips_loss 0.1745, g_loss 0.0021, disc_weight 0.4000, disc_adaptive_weight 2.7095, d_loss 0.5261, logits_real -0.0036, logits_fake -0.0019,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.2082, rec_loss 0.0229, lpips_loss 0.1742, g_loss 0.0038, disc_weight 0.4000, disc_adaptive_weight 2.8969, d_loss 0.5224, logits_real -0.0051, logits_fake -0.0035,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.2133, rec_loss 0.0230, lpips_loss 0.1746, g_loss 0.0054, disc_weight 0.4000, disc_adaptive_weight 2.8478, d_loss 0.5190, logits_real -0.0068, logits_fake -0.0052,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.2199, rec_loss 0.0230, lpips_loss 0.1760, g_loss 0.0067, disc_weight 0.4000, disc_adaptive_weight 2.9675, d_loss 0.5161, logits_real -0.0083, logits_fake -0.0067,
